time/episodes,rollout/success_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,curriculum/epsilon,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,eval/clean_mean_d,eval/clean_success_rate
4,0.0,-0.19703949987888336,-48.75,30,0.0088,0.27022597193717957,0.9710294008255005,0.0003,99,50.0,200,-5.074660301208496,6,,
8,0.0,-0.599463164806366,-47.75,21,0.0176,0.2416752576828003,0.9144778251647949,0.0003,299,50.0,400,-6.2597336769104,18,,
12,0.0,-1.0051496028900146,-48.333333333333336,19,0.0264,0.2040025293827057,0.8612127900123596,0.0003,499,50.0,600,-7.386650085449219,31,,
16,0.0,-1.406964659690857,-48.75,18,0.0352,0.2128373384475708,0.8110569715499878,0.0003,699,50.0,800,-8.336910247802734,44,,
20,0.0,-1.8101751804351807,-48.9,17,0.044,0.2253948152065277,0.7638322114944458,0.0003,899,50.0,1000,-9.352129936218262,56,,
24,0.0,-2.2164108753204346,-49.083333333333336,17,0.0528,0.21897795796394348,0.7193358540534973,0.0003,1099,50.0,1200,-10.150383949279785,69,,
28,0.0,-2.6185965538024902,-49.214285714285715,17,0.061599999999999995,0.20711390674114227,0.6774333119392395,0.0003,1299,50.0,1400,-10.996126174926758,81,,
32,0.0,-3.0429420471191406,-49.3125,16,0.0704,0.20196965336799622,0.6379852890968323,0.0003,1499,50.0,1600,-11.781312942504883,94,,
36,0.0,-3.4254581928253174,-49.138888888888886,16,0.07919999999999999,0.22554323077201843,0.600838840007782,0.0003,1699,50.0,1800,-12.255071640014648,107,,
40,0.0,-3.8349037170410156,-49.125,16,0.088,0.19495928287506104,0.5658684372901917,0.0003,1899,50.0,2000,-12.724093437194824,120,,
44,0.0,-4.220637798309326,-49.18181818181818,16,0.0968,0.21557211875915527,0.5329233407974243,0.0003,2099,50.0,2200,-13.222445487976074,132,,
48,0.0,-4.657860279083252,-49.25,16,0.1056,0.19922590255737305,0.5019087791442871,0.0003,2299,50.0,2400,-13.59282112121582,144,,
52,0.0,-5.035282135009766,-49.30769230769231,16,0.1144,0.1946132779121399,0.47270047664642334,0.0003,2499,50.0,2600,-13.851419448852539,157,,
56,0.0,-5.430036544799805,-49.267857142857146,16,0.12319999999999999,0.20130661129951477,0.44519737362861633,0.0003,2699,50.0,2800,-14.057798385620117,169,,
60,0.0,-5.844239711761475,-49.3,16,0.132,0.204542338848114,0.41929399967193604,0.0003,2899,50.0,3000,-14.18819522857666,182,,
64,0.0,-6.2257843017578125,-49.34375,16,0.1408,0.16478359699249268,0.39492055773735046,0.0003,3099,50.0,3200,-14.19482135772705,194,,
68,0.0,-6.626021385192871,-49.36764705882353,16,0.14959999999999998,0.2030303180217743,0.3719688355922699,0.0003,3299,50.0,3400,-14.345122337341309,207,,
72,0.0,-6.986764430999756,-49.40277777777778,16,0.15839999999999999,0.18417543172836304,0.35035279393196106,0.0003,3499,50.0,3600,-14.300896644592285,219,,
76,0.0,-7.413717746734619,-49.43421052631579,16,0.1672,0.19425880908966064,0.33001258969306946,0.0003,3699,50.0,3800,-14.233062744140625,232,,
80,0.0,-7.829739570617676,-49.4625,16,0.176,0.18947552144527435,0.3108616769313812,0.0003,3899,50.0,4000,-14.119657516479492,245,,
84,0.0,-8.199841499328613,-49.44047619047619,16,0.1848,0.18602651357650757,0.2928140163421631,0.0003,4099,50.0,4200,-13.885828018188477,257,,
88,0.0,-8.509478569030762,-49.46590909090909,16,0.1936,0.1728840172290802,0.27584120631217957,0.0003,4299,50.0,4400,-13.812692642211914,270,,
92,0.0,-8.96720027923584,-49.48913043478261,16,0.2024,0.1704135239124298,0.25986096262931824,0.0003,4499,50.0,4600,-13.539655685424805,282,,
96,0.0,-9.358713150024414,-49.510416666666664,16,0.2112,0.19702619314193726,0.24482925236225128,0.0003,4699,50.0,4800,-13.329784393310547,295,,
100,0.0,-9.768414497375488,-49.44,16,0.22,0.17114950716495514,0.23066622018814087,0.0003,4899,50.0,5000,-12.956984519958496,312,0.26904695448088156,0.2
