condition,eps_0.5,eps_0.8,eps_1.1
C0_clean,0.9366666666666666,0.7333333333333334,0.3833333333333333
C1_slow,0.9666666666666667,0.7599999999999999,0.4199999999999999
C2_medium,0.87,0.7433333333333333,0.4033333333333333
C3_fast,0.8233333333333334,0.7433333333333333,0.4599999999999999
C4_instant,0.6666666666666666,0.6033333333333334,0.41
C5_gated,0.84,0.6966666666666667,0.3566666666666666
