epsilon,condition,n_seeds,biased_success_mean,biased_success_std,biased_mean_d_mean,biased_mean_d_std
0.5,C0_clean,3,0.9366666666666666,0.03091206165165232,0.032535440571602736,0.0013130904409038233
0.5,C1_slow,3,0.9666666666666667,0.009428090415820642,0.02823905748490327,0.002335938223364877
0.5,C2_medium,3,0.87,0.016329931618554536,0.03326420319873393,0.001978033425843412
0.5,C3_fast,3,0.8233333333333334,0.06342099196813483,0.03704587633601997,0.0028757090766794997
0.5,C4_instant,3,0.6666666666666666,0.16739839372652962,0.04508205937542579,0.006050273807664822
0.5,C5_gated,3,0.84,0.1235583532856709,0.0356648494037713,0.006944161321493045
0.8,C0_clean,3,0.7333333333333334,0.02867441755680878,0.04115021379184337,0.0020964990096792127
0.8,C1_slow,3,0.7599999999999999,0.11343133018115703,0.05333219832916514,0.014241024389457986
0.8,C2_medium,3,0.7433333333333333,0.12498888839501784,0.0652776515368166,0.032946413930396455
0.8,C3_fast,3,0.7433333333333333,0.07586537784494027,0.04432412348571657,0.0077837469811491665
0.8,C4_instant,3,0.6033333333333334,0.11556623882239811,0.06566539880228477,0.014342255980929659
0.8,C5_gated,3,0.6966666666666667,0.053124591501697425,0.06257068231118627,0.015272879069082437
