time/episodes,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/success_rate,curriculum/epsilon,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,eval/clean_mean_d,eval/clean_success_rate
224,50,-3.871807098388672,0.13569314777851105,-14.22,0.044155195355415344,222,0.7300000190734863,0.16426666666666667,11099,11200,0.0003,50.0,-8.321008682250977,,
228,50,-4.410944938659668,0.11740600317716599,-12.56,0.042088109999895096,226,0.7699999809265137,0.1672,11299,11400,0.0003,50.0,-9.304605484008789,,
232,50,-3.918264150619507,0.12209232151508331,-10.91,0.04017721116542816,230,0.8100000023841858,0.17013333333333333,11499,11600,0.0003,50.0,-7.078925132751465,,
236,50,-4.410040378570557,0.1041065976023674,-9.35,0.03837595134973526,234,0.8399999737739563,0.17306666666666667,11699,11800,0.0003,50.0,-7.608259201049805,,
240,50,-4.442309856414795,0.1478842794895172,-8.0,0.036659758538007736,239,0.8700000047683716,0.176,11899,12000,0.0003,50.0,-7.934220314025879,,
244,50,-4.218240737915039,0.14774513244628906,-6.86,0.034979887306690216,243,0.8999999761581421,0.17893333333333333,12099,12200,0.0003,50.0,-6.883805751800537,,
248,50,-4.301512718200684,0.12241647392511368,-5.77,0.0333150252699852,247,0.9300000071525574,0.18186666666666665,12299,12400,0.0003,50.0,-7.658651351928711,,
252,50,-4.5897135734558105,0.11159699410200119,-5.24,0.03172467648983002,251,0.9399999976158142,0.1848,12499,12600,0.0003,50.0,-7.414880275726318,,
256,50,-4.45461368560791,0.12379834800958633,-4.94,0.030250318348407745,255,0.949999988079071,0.18773333333333334,12699,12800,0.0003,50.0,-6.7580718994140625,,
260,50,-4.740725994110107,0.11821198463439941,-4.3,0.02883903868496418,259,0.9700000286102295,0.19066666666666665,12899,13000,0.0003,50.0,-7.410166263580322,,
264,50,-4.550936222076416,0.0881226435303688,-3.87,0.027459274977445602,263,0.9800000190734863,0.1936,13099,13200,0.0003,50.0,-6.840960502624512,,
268,50,-4.802788257598877,0.08518940210342407,-3.19,0.026141328737139702,267,0.9900000095367432,0.19653333333333334,13299,13400,0.0003,50.0,-7.07884407043457,,
272,50,-4.949640274047852,0.08918417245149612,-2.92,0.02488650754094124,271,0.9900000095367432,0.19946666666666665,13499,13600,0.0003,50.0,-7.817487716674805,,
276,50,-4.7087883949279785,0.07733545452356339,-2.56,0.02365642972290516,275,0.9900000095367432,0.2024,13699,13800,0.0003,50.0,-8.177814483642578,,
280,49,-4.755265712738037,0.0964391753077507,-2.45,0.02246592380106449,280,0.9900000095367432,0.20533333333333334,13899,14000,0.0003,50.0,-6.948293209075928,,
284,49,-4.615352630615234,0.08699195832014084,-2.28,0.02137167565524578,284,1.0,0.20826666666666666,14099,14200,0.0003,50.0,-6.199559688568115,,
288,49,-4.472030162811279,0.11083722114562988,-2.24,0.020290087908506393,288,1.0,0.2112,14299,14400,0.0003,50.0,-5.466064453125,,
292,49,-4.732985496520996,0.08260524272918701,-2.19,0.019262874498963356,292,1.0,0.21413333333333331,14499,14600,0.0003,50.0,-6.906126022338867,,
296,49,-4.7850446701049805,0.10205645859241486,-2.16,0.01830335520207882,296,1.0,0.21706666666666666,14699,14800,0.0003,50.0,-6.514837265014648,,
300,49,-4.956150054931641,0.07830634713172913,-2.16,0.01738176867365837,302,1.0,0.22,14899,15000,0.0003,50.0,-6.721311569213867,0.015772801983990378,1.0
304,49,-4.891757011413574,0.08342187851667404,-2.15,0.01652603968977928,306,1.0,0.22293333333333332,15099,15200,0.0003,50.0,-7.951725959777832,,
308,49,-4.739106178283691,0.0733119547367096,-2.16,0.015713360160589218,310,1.0,0.22586666666666666,15299,15400,0.0003,50.0,-4.992541790008545,,
312,49,-4.930992126464844,0.06820547580718994,-2.08,0.014970637857913971,315,1.0,0.2288,15499,15600,0.0003,50.0,-6.344361305236816,,
316,49,-4.9080610275268555,0.06896428018808365,-2.04,0.014276502653956413,319,1.0,0.23173333333333332,15699,15800,0.0003,50.0,-6.6763434410095215,,
320,49,-4.974331378936768,0.07291224598884583,-1.97,0.013624098151922226,323,1.0,0.23466666666666666,15899,16000,0.0003,50.0,-5.737748622894287,,
324,49,-4.943133354187012,0.08668727427721024,-1.96,0.012979764491319656,327,1.0,0.2376,16099,16200,0.0003,50.0,-7.128281593322754,,
328,49,-4.870970249176025,0.07803477346897125,-1.94,0.012395888566970825,331,1.0,0.24053333333333332,16299,16400,0.0003,50.0,-5.270824432373047,,
332,49,-4.711143970489502,0.07655701041221619,-1.9,0.011848234571516514,335,1.0,0.24346666666666666,16499,16600,0.0003,50.0,-3.7467474937438965,,
336,49,-4.811039924621582,0.07911726832389832,-1.89,0.011313063092529774,339,1.0,0.24639999999999998,16699,16800,0.0003,50.0,-4.549001216888428,,
340,49,-4.985193252563477,0.06143993139266968,-1.91,0.010827080346643925,344,1.0,0.24933333333333332,16899,17000,0.0003,50.0,-3.357710361480713,,
344,49,-4.796336650848389,0.058269329369068146,-1.88,0.01037417072802782,348,1.0,0.25226666666666664,17099,17200,0.0003,50.0,-4.058986186981201,,
348,49,-4.7412567138671875,0.061344120651483536,-1.88,0.009908458217978477,352,1.0,0.2552,17299,17400,0.0003,50.0,-3.932940721511841,,
