time/episodes,rollout/success_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,curriculum/epsilon,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,eval/clean_mean_d,eval/clean_success_rate
52,0.0,-5.023643970489502,-49.69230769230769,15,0.1144,0.2130763828754425,0.4727785587310791,0.0003,2499,50.0,2600,-13.623887062072754,171,,
56,0.0,-5.447454452514648,-49.714285714285715,15,0.12319999999999999,0.19887155294418335,0.445284366607666,0.0003,2699,50.0,2800,-13.716575622558594,185,,
60,0.0,-5.837832927703857,-49.71666666666667,15,0.132,0.18307143449783325,0.41940703988075256,0.0003,2899,50.0,3000,-13.927057266235352,198,,
64,0.0,-6.248712062835693,-49.734375,15,0.1408,0.17686164379119873,0.3950490355491638,0.0003,3099,50.0,3200,-14.017158508300781,212,,
68,0.0,-6.59389591217041,-49.720588235294116,15,0.14959999999999998,0.21345701813697815,0.372102826833725,0.0003,3299,50.0,3400,-14.133020401000977,225,,
72,0.0,-7.035332202911377,-49.72222222222222,15,0.15839999999999999,0.19001702964305878,0.35051679611206055,0.0003,3499,50.0,3600,-13.990811347961426,239,,
76,0.0,-7.339643478393555,-49.73684210526316,15,0.1672,0.15763771533966064,0.3301849961280823,0.0003,3699,50.0,3800,-13.889547348022461,252,,
80,0.0,-7.739315032958984,-49.75,15,0.176,0.2007187008857727,0.3110407292842865,0.0003,3899,50.0,4000,-13.702740669250488,265,,
84,0.0,-8.151030540466309,-49.76190476190476,15,0.1848,0.18068276345729828,0.29302528500556946,0.0003,4099,50.0,4200,-13.675190925598145,279,,
88,0.0,-8.491520881652832,-49.77272727272727,15,0.1936,0.1735066920518875,0.2760845422744751,0.0003,4299,50.0,4400,-13.288787841796875,292,,
92,0.0,-8.942115783691406,-49.78260869565217,15,0.2024,0.1485927253961563,0.26013678312301636,0.0003,4499,50.0,4600,-12.956315040588379,306,,
96,0.0,-9.283275604248047,-49.791666666666664,14,0.2112,0.20375272631645203,0.24513864517211914,0.0003,4699,50.0,4800,-12.735048294067383,320,,
100,0.0,-9.533260345458984,-49.64,14,0.22,0.19517606496810913,0.23102876543998718,0.0003,4899,50.0,5000,-12.271814346313477,337,0.32339305088082904,0.15
104,0.0,-9.892793655395508,-49.63,14,0.2288,0.20967745780944824,0.21777205169200897,0.0003,5099,50.0,5200,-11.97620964050293,351,,
108,0.0,-10.352352142333984,-49.65,14,0.2376,0.17566752433776855,0.20529361069202423,0.0003,5299,50.0,5400,-11.722700119018555,365,,
112,0.0,-10.436955451965332,-49.65,14,0.24639999999999998,0.2193138301372528,0.1935638189315796,0.0003,5499,50.0,5600,-11.220821380615234,378,,
116,0.0,-10.893573760986328,-49.56,14,0.2552,0.18860933184623718,0.18256628513336182,0.0003,5699,50.0,5800,-10.714028358459473,392,,
120,0.0,-11.025644302368164,-49.53,14,0.264,0.15791216492652893,0.172236829996109,0.0003,5899,50.0,6000,-10.385940551757812,405,,
124,0.0,-11.196304321289062,-49.45,14,0.2728,0.15653687715530396,0.16253456473350525,0.0003,6099,50.0,6200,-10.040162086486816,419,,
128,0.0,-11.544737815856934,-49.4,14,0.2816,0.16699433326721191,0.15344466269016266,0.0003,6299,50.0,6400,-9.486096382141113,432,,
132,0.0,-11.574427604675293,-49.37,14,0.2904,0.15527762472629547,0.14493495225906372,0.0003,6499,50.0,6600,-9.30653190612793,445,,
136,0.0,-11.867976188659668,-49.34,14,0.29919999999999997,0.16142334043979645,0.13693633675575256,0.0003,6699,50.0,6800,-8.973759651184082,458,,
140,0.0,-11.586493492126465,-49.32,14,0.308,0.13811106979846954,0.12942929565906525,0.0003,6899,50.0,7000,-8.533612251281738,472,,
144,0.0,-12.07203483581543,-49.23,14,0.31679999999999997,0.13921475410461426,0.12237661331892014,0.0003,7099,50.0,7200,-7.91306209564209,485,,
148,0.0,-12.012946128845215,-49.15,14,0.3256,0.14544588327407837,0.11573097109794617,0.0003,7299,50.0,7400,-7.532586574554443,498,,
