time/episodes,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/success_rate,curriculum/epsilon,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,eval/clean_mean_d,eval/clean_success_rate
4,89,-5.0749430656433105,0.2774835228919983,-48.75,0.9710294008255005,2,0.0,0.0029333333333333334,99,200,0.0003,50.0,-0.19702927768230438,,
8,64,-6.257399082183838,0.24403662979602814,-47.75,0.9144777655601501,6,0.0,0.005866666666666667,299,400,0.0003,50.0,-0.5994870662689209,,
12,58,-7.396615982055664,0.21051061153411865,-48.25,0.8612132668495178,10,0.0,0.0088,499,600,0.0003,50.0,-1.005190134048462,,
16,55,-8.338118553161621,0.21423938870429993,-48.6875,0.8110573291778564,14,0.0,0.011733333333333333,699,800,0.0003,50.0,-1.4070056676864624,,
20,54,-9.353063583374023,0.22453877329826355,-48.8,0.7638324499130249,18,0.0,0.014666666666666666,899,1000,0.0003,50.0,-1.809949278831482,,
24,53,-10.155193328857422,0.21602946519851685,-49.0,0.7193358540534973,22,0.0,0.0176,1099,1200,0.0003,50.0,-2.2155628204345703,,
28,52,-11.011971473693848,0.20524977147579193,-49.107142857142854,0.6774325966835022,26,0.0,0.020533333333333334,1299,1400,0.0003,50.0,-2.6190571784973145,,
32,52,-11.793364524841309,0.20353096723556519,-49.21875,0.6379851698875427,30,0.0,0.023466666666666667,1499,1600,0.0003,50.0,-3.0423712730407715,,
36,52,-12.241394996643066,0.23129382729530334,-49.27777777777778,0.6008393168449402,34,0.0,0.0264,1699,1800,0.0003,50.0,-3.4254305362701416,,
40,51,-12.74267578125,0.20195026695728302,-49.125,0.5658705830574036,38,0.0,0.029333333333333333,1899,2000,0.0003,50.0,-3.834674119949341,,
44,51,-13.225885391235352,0.22015811502933502,-49.15909090909091,0.5329272747039795,42,0.0,0.032266666666666666,2099,2200,0.0003,50.0,-4.22189998626709,,
48,51,-13.648136138916016,0.2080150991678238,-49.229166666666664,0.5019131302833557,46,0.0,0.0352,2299,2400,0.0003,50.0,-4.656917572021484,,
52,51,-13.895334243774414,0.19659242033958435,-49.28846153846154,0.4727057218551636,50,0.0,0.03813333333333333,2499,2600,0.0003,50.0,-5.035206317901611,,
56,51,-14.103806495666504,0.19623598456382751,-49.30357142857143,0.4452049434185028,54,0.0,0.04106666666666667,2699,2800,0.0003,50.0,-5.426583290100098,,
60,50,-14.249796867370605,0.2029261440038681,-49.333333333333336,0.41930457949638367,58,0.0,0.044,2899,3000,0.0003,50.0,-5.845907211303711,,
64,50,-14.219758033752441,0.16442716121673584,-49.375,0.394931823015213,62,0.0,0.046933333333333334,3099,3200,0.0003,50.0,-6.229148864746094,,
68,50,-14.381129264831543,0.1966889202594757,-49.411764705882355,0.37198448181152344,67,0.0,0.04986666666666666,3299,3400,0.0003,50.0,-6.6222686767578125,,
72,50,-14.285758972167969,0.1756369173526764,-49.44444444444444,0.35037121176719666,71,0.0,0.0528,3499,3600,0.0003,50.0,-6.980442047119141,,
76,50,-14.304251670837402,0.19833248853683472,-49.473684210526315,0.330040842294693,75,0.0,0.05573333333333333,3699,3800,0.0003,50.0,-7.401322364807129,,
80,50,-14.121742248535156,0.202143132686615,-49.5,0.3109038174152374,79,0.0,0.058666666666666666,3899,4000,0.0003,50.0,-7.807898044586182,,
84,50,-13.87614631652832,0.20870691537857056,-49.523809523809526,0.29287511110305786,83,0.0,0.061599999999999995,4099,4200,0.0003,50.0,-8.179985046386719,,
88,50,-13.786863327026367,0.17602141201496124,-49.54545454545455,0.2759253680706024,87,0.0,0.06453333333333333,4299,4400,0.0003,50.0,-8.479320526123047,,
92,50,-13.5551176071167,0.18980316817760468,-49.56521739130435,0.2599756419658661,91,0.0,0.06746666666666666,4499,4600,0.0003,50.0,-8.966778755187988,,
96,50,-13.375410079956055,0.190107524394989,-49.583333333333336,0.24497434496879578,95,0.0,0.0704,4699,4800,0.0003,50.0,-9.302186965942383,,
100,49,-13.062846183776855,0.17004689574241638,-49.6,0.2308344841003418,101,0.0,0.07333333333333333,4899,5000,0.0003,50.0,-9.710176467895508,0.4010791775518302,0.15
104,49,-12.800466537475586,0.19456687569618225,-49.61,0.21752415597438812,105,0.0,0.07626666666666666,5099,5200,0.0003,50.0,-9.920768737792969,,
108,49,-12.136228561401367,0.19297155737876892,-49.73,0.2050197422504425,109,0.0,0.07919999999999999,5299,5400,0.0003,50.0,-10.24321174621582,,
112,49,-12.131059646606445,0.1715063601732254,-49.75,0.1932687610387802,113,0.0,0.08213333333333334,5499,5600,0.0003,50.0,-10.574811935424805,,
116,49,-11.600675582885742,0.14884474873542786,-49.75,0.18222567439079285,117,0.0,0.08506666666666667,5699,5800,0.0003,50.0,-11.115459442138672,,
120,49,-11.10971736907959,0.17758408188819885,-49.76,0.17181621491909027,121,0.0,0.088,5899,6000,0.0003,50.0,-11.309887886047363,,
124,49,-10.807843208312988,0.16006231307983398,-49.76,0.16205984354019165,125,0.0,0.09093333333333332,6099,6200,0.0003,50.0,-11.418546676635742,,
128,49,-10.344505310058594,0.15483960509300232,-49.77,0.1528916358947754,129,0.0,0.09386666666666667,6299,6400,0.0003,50.0,-11.481348037719727,,
132,49,-9.885807037353516,0.13157564401626587,-49.77,0.14430402219295502,133,0.0,0.0968,6499,6600,0.0003,50.0,-11.74176025390625,,
136,49,-9.585063934326172,0.14978960156440735,-49.74,0.13624586164951324,137,0.0,0.09973333333333333,6699,6800,0.0003,50.0,-12.018815994262695,,
140,49,-8.840666770935059,0.14308974146842957,-49.83,0.12870821356773376,142,0.0,0.10266666666666667,6899,7000,0.0003,50.0,-11.77775764465332,,
144,49,-8.792149543762207,0.16322067379951477,-49.85,0.12164335697889328,146,0.0,0.1056,7099,7200,0.0003,50.0,-12.104972839355469,,
148,49,-8.09597396850586,0.1307644098997116,-49.82,0.11502006649971008,150,0.0,0.10853333333333333,7299,7400,0.0003,50.0,-12.214372634887695,,
152,49,-7.86525821685791,0.1870025098323822,-49.74,0.10878714919090271,154,0.0,0.11146666666666666,7499,7600,0.0003,50.0,-12.482270240783691,,
156,49,-7.543013095855713,0.13877476751804352,-49.67,0.10294003039598465,158,0.0,0.1144,7699,7800,0.0003,50.0,-12.303949356079102,,
160,49,-7.133758544921875,0.13983702659606934,-49.4,0.09745799005031586,162,0.009999999776482582,0.11733333333333333,7899,8000,0.0003,50.0,-12.441274642944336,,
164,49,-6.703187465667725,0.1336672157049179,-49.18,0.09227557480335236,166,0.009999999776482582,0.12026666666666666,8099,8200,0.0003,50.0,-12.13454818725586,,
168,49,-5.965930938720703,0.13199487328529358,-49.06,0.08742012083530426,170,0.009999999776482582,0.12319999999999999,8299,8400,0.0003,50.0,-12.058507919311523,,
172,49,-5.7024126052856445,0.13488878309726715,-48.87,0.08284533023834229,174,0.019999999552965164,0.12613333333333332,8499,8600,0.0003,50.0,-12.571340560913086,,
176,49,-5.304347991943359,0.11730390042066574,-47.88,0.07856320589780807,178,0.029999999329447746,0.12906666666666666,8699,8800,0.0003,50.0,-12.006580352783203,,
180,49,-5.2028656005859375,0.13012239336967468,-47.06,0.07453741133213043,182,0.05000000074505806,0.132,8899,9000,0.0003,50.0,-12.442498207092285,,
184,49,-4.59712028503418,0.12024912238121033,-46.16,0.07075261324644089,186,0.05999999865889549,0.13493333333333332,9099,9200,0.0003,50.0,-11.907258033752441,,
188,49,-4.6240763664245605,0.13996334373950958,-45.58,0.06720049679279327,190,0.05999999865889549,0.13786666666666667,9299,9400,0.0003,50.0,-12.116521835327148,,
192,49,-3.996690273284912,0.13057643175125122,-44.55,0.06385235488414764,195,0.07999999821186066,0.1408,9499,9600,0.0003,50.0,-11.085137367248535,,
196,49,-4.005736827850342,0.1420232355594635,-43.56,0.060724370181560516,199,0.10000000149011612,0.14373333333333332,9699,9800,0.0003,50.0,-11.874107360839844,,
200,48,-3.5532941818237305,0.13114583492279053,-42.72,0.05777878686785698,205,0.10999999940395355,0.14666666666666667,9899,10000,0.0003,50.0,-11.340173721313477,0.02870560161933019,1.0
204,48,-3.2752325534820557,0.12769606709480286,-41.28,0.05501491203904152,210,0.14000000059604645,0.14959999999999998,10099,10200,0.0003,50.0,-10.222322463989258,,
208,48,-2.975099802017212,0.1335521936416626,-39.51,0.05240175873041153,214,0.18000000715255737,0.15253333333333333,10299,10400,0.0003,50.0,-9.946375846862793,,
