time/episodes,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,time/time_elapsed,rollout/success_rate,curriculum/epsilon,train/n_updates,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,eval/clean_mean_d,eval/clean_success_rate
128,43,-9.87581729888916,0.1494378000497818,-49.25,0.1537535935640335,147,0.0,0.09386666666666667,6299,6400,0.0003,50.0,-11.448226928710938,,
132,43,-9.696489334106445,0.16127318143844604,-49.22,0.14525893330574036,152,0.0,0.0968,6499,6600,0.0003,50.0,-11.388792991638184,,
136,43,-9.398536682128906,0.15903612971305847,-49.2,0.13726116716861725,157,0.0,0.09973333333333333,6699,6800,0.0003,50.0,-11.63974666595459,,
140,43,-8.83448314666748,0.15933382511138916,-49.23,0.12976689636707306,161,0.0,0.10266666666666667,6899,7000,0.0003,50.0,-11.362777709960938,,
144,43,-8.336301803588867,0.14028127491474152,-49.14,0.12274333089590073,166,0.0,0.1056,7099,7200,0.0003,50.0,-11.90611457824707,,
148,43,-8.006776809692383,0.14876671135425568,-48.97,0.1161377876996994,170,0.0,0.10853333333333333,7299,7400,0.0003,50.0,-11.816797256469727,,
152,43,-7.623745441436768,0.17091083526611328,-48.9,0.1099582314491272,175,0.0,0.11146666666666666,7499,7600,0.0003,50.0,-11.834473609924316,,
156,43,-7.519026756286621,0.14317885041236877,-48.47,0.10417359322309494,180,0.009999999776482582,0.1144,7699,7800,0.0003,50.0,-11.772139549255371,,
160,43,-6.936399459838867,0.166803777217865,-48.32,0.09870468825101852,184,0.009999999776482582,0.11733333333333333,7899,8000,0.0003,50.0,-11.716339111328125,,
164,43,-6.927767276763916,0.14564566314220428,-48.32,0.09355846047401428,189,0.009999999776482582,0.12026666666666666,8099,8200,0.0003,50.0,-11.714960098266602,,
168,43,-6.467366695404053,0.12587788701057434,-47.73,0.0887174904346466,193,0.019999999552965164,0.12319999999999999,8299,8400,0.0003,50.0,-11.634273529052734,,
172,43,-6.120987892150879,0.12972748279571533,-47.44,0.08414895087480545,198,0.019999999552965164,0.12613333333333332,8499,8600,0.0003,50.0,-11.479825973510742,,
176,43,-5.690493583679199,0.12275755405426025,-46.99,0.07985023409128189,202,0.019999999552965164,0.12906666666666666,8699,8800,0.0003,50.0,-11.490213394165039,,
180,43,-5.430631637573242,0.13588041067123413,-46.75,0.07577594369649887,207,0.019999999552965164,0.132,8899,9000,0.0003,50.0,-11.397533416748047,,
184,43,-5.260099411010742,0.12416529655456543,-46.04,0.07192395627498627,211,0.03999999910593033,0.13493333333333332,9099,9200,0.0003,50.0,-11.578096389770508,,
188,43,-4.682301998138428,0.1328238695859909,-45.42,0.06825723499059677,216,0.05999999865889549,0.13786666666666667,9299,9400,0.0003,50.0,-11.070051193237305,,
192,43,-4.863953113555908,0.10762844234704971,-44.25,0.06476525962352753,220,0.07999999821186066,0.1408,9499,9600,0.0003,50.0,-10.702115058898926,,
196,43,-4.592587471008301,0.1405763030052185,-42.51,0.061525847762823105,225,0.11999999731779099,0.14373333333333332,9699,9800,0.0003,50.0,-11.245878219604492,,
200,43,-4.480148792266846,0.13101062178611755,-41.33,0.05847287178039551,232,0.14000000059604645,0.14666666666666667,9899,10000,0.0003,50.0,-10.032337188720703,0.02381198673616104,1.0
204,43,-4.222990036010742,0.13058295845985413,-39.73,0.05556086450815201,236,0.17000000178813934,0.14959999999999998,10099,10200,0.0003,50.0,-10.533474922180176,,
208,43,-4.1844096183776855,0.12445803731679916,-38.01,0.05284188315272331,241,0.20000000298023224,0.15253333333333333,10299,10400,0.0003,50.0,-10.251340866088867,,
212,43,-4.06945276260376,0.12950828671455383,-36.45,0.050255026668310165,246,0.23000000417232513,0.15546666666666667,10499,10600,0.0003,50.0,-10.272357940673828,,
216,43,-3.53507399559021,0.13060741126537323,-34.72,0.04784514382481575,250,0.27000001072883606,0.15839999999999999,10699,10800,0.0003,50.0,-9.452923774719238,,
220,43,-3.6540379524230957,0.1355966031551361,-32.96,0.04553714394569397,255,0.3100000023841858,0.16133333333333333,10899,11000,0.0003,50.0,-8.92513656616211,,
224,43,-3.519333600997925,0.11786860227584839,-31.16,0.04337325319647789,259,0.3400000035762787,0.16426666666666667,11099,11200,0.0003,50.0,-8.907238006591797,,
228,43,-3.4506022930145264,0.13134285807609558,-29.53,0.04127207398414612,264,0.3700000047683716,0.1672,11299,11400,0.0003,50.0,-9.605711936950684,,
232,43,-3.100203275680542,0.11146171391010284,-27.67,0.03932368382811546,269,0.4099999964237213,0.17013333333333333,11499,11600,0.0003,50.0,-8.653464317321777,,
236,43,-3.2844929695129395,0.12108100950717926,-25.9,0.03745197504758835,273,0.44999998807907104,0.17306666666666667,11699,11800,0.0003,50.0,-8.662201881408691,,
240,43,-3.240236759185791,0.12589232623577118,-24.04,0.03568470478057861,278,0.49000000953674316,0.176,11899,12000,0.0003,50.0,-9.099971771240234,,
244,43,-2.987328290939331,0.17204776406288147,-22.2,0.03401576727628708,282,0.5299999713897705,0.17893333333333333,12099,12200,0.0003,50.0,-7.618682384490967,,
248,43,-3.0287938117980957,0.09668096154928207,-20.46,0.032449591904878616,287,0.5699999928474426,0.18186666666666665,12299,12400,0.0003,50.0,-7.234407424926758,,
252,43,-3.3687832355499268,0.11646227538585663,-18.77,0.030935117974877357,292,0.6100000143051147,0.1848,12499,12600,0.0003,50.0,-8.343379020690918,,
256,43,-2.958360195159912,0.11006397008895874,-17.29,0.02951223962008953,296,0.6399999856948853,0.18773333333333334,12699,12800,0.0003,50.0,-7.796780586242676,,
260,43,-3.230088233947754,0.10624787956476212,-15.55,0.028190892189741135,301,0.6800000071525574,0.19066666666666665,12899,13000,0.0003,50.0,-6.390196800231934,,
264,43,-3.2605502605438232,0.11460142582654953,-13.64,0.02690238691866398,306,0.7200000286102295,0.1936,13099,13200,0.0003,50.0,-7.396047592163086,,
268,43,-2.9999475479125977,0.1048399806022644,-12.35,0.02569602057337761,310,0.75,0.19653333333333334,13299,13400,0.0003,50.0,-5.7565813064575195,,
272,43,-3.0459156036376953,0.0858074277639389,-10.76,0.024579400196671486,315,0.7900000214576721,0.19946666666666665,13499,13600,0.0003,50.0,-6.084475517272949,,
276,43,-3.1008081436157227,0.09365204721689224,-9.28,0.023539062589406967,320,0.8299999833106995,0.2024,13699,13800,0.0003,50.0,-6.016618728637695,,
280,43,-3.4269115924835205,0.08502288162708282,-7.62,0.022535055875778198,324,0.8700000047683716,0.20533333333333334,13899,14000,0.0003,50.0,-5.866311073303223,,
284,43,-3.4032092094421387,0.0832032784819603,-6.41,0.02161112055182457,329,0.8899999856948853,0.20826666666666666,14099,14200,0.0003,50.0,-3.9827516078948975,,
288,43,-3.305704116821289,0.1069391518831253,-5.11,0.02070573903620243,333,0.9100000262260437,0.2112,14299,14400,0.0003,50.0,-5.273700714111328,,
292,43,-3.323883056640625,0.12232833355665207,-4.37,0.019828656688332558,338,0.9300000071525574,0.21413333333333331,14499,14600,0.0003,50.0,-4.965506553649902,,
296,43,-3.3684842586517334,0.10666391253471375,-4.18,0.018986303359270096,342,0.9300000071525574,0.21706666666666666,14699,14800,0.0003,50.0,-3.9961800575256348,,
300,42,-3.7962169647216797,0.07683973014354706,-3.52,0.01819630153477192,349,0.949999988079071,0.22,14899,15000,0.0003,50.0,-5.644296169281006,0.014139222873327967,1.0
304,42,-3.460085868835449,0.0872904509305954,-3.23,0.017417985945940018,353,0.9599999785423279,0.22293333333333332,15099,15200,0.0003,50.0,-4.619739532470703,,
308,42,-3.319039821624756,0.0892963632941246,-3.06,0.01664157211780548,358,0.9700000286102295,0.22586666666666666,15299,15400,0.0003,50.0,-3.0323352813720703,,
312,43,-3.702040433883667,0.07947298139333725,-2.74,0.015897195786237717,362,0.9800000190734863,0.2288,15499,15600,0.0003,50.0,-4.991406440734863,,
316,43,-3.6798996925354004,0.09133794903755188,-2.64,0.01521285343915224,367,0.9800000190734863,0.23173333333333332,15699,15800,0.0003,50.0,-4.26462459564209,,
320,43,-3.8051576614379883,0.08615760505199432,-2.48,0.01454154122620821,371,0.9800000190734863,0.23466666666666666,15899,16000,0.0003,50.0,-4.704456329345703,,
324,43,-3.734571695327759,0.09101619571447372,-2.44,0.01387837529182434,376,0.9900000095367432,0.2376,16099,16200,0.0003,50.0,-4.671993732452393,,
328,43,-3.650174617767334,0.09856685996055603,-2.25,0.013214943930506706,380,1.0,0.24053333333333332,16299,16400,0.0003,50.0,-4.053595066070557,,
332,43,-3.820103883743286,0.08679787069559097,-2.18,0.012591774575412273,385,1.0,0.24346666666666666,16499,16600,0.0003,50.0,-3.6503794193267822,,
336,43,-3.7961344718933105,0.09399928897619247,-2.12,0.012012645602226257,389,1.0,0.24639999999999998,16699,16800,0.0003,50.0,-2.9610464572906494,,
340,43,-3.9173219203948975,0.0622454397380352,-2.1,0.011471322737634182,394,1.0,0.24933333333333332,16899,17000,0.0003,50.0,-4.411744117736816,,
344,43,-3.6820900440216064,0.07692993432283401,-2.11,0.010940726846456528,398,1.0,0.25226666666666664,17099,17200,0.0003,50.0,-3.9131336212158203,,
348,43,-3.783003807067871,0.07744372636079788,-2.12,0.010396340861916542,403,1.0,0.2552,17299,17400,0.0003,50.0,-4.672158718109131,,
352,43,-3.9457972049713135,0.0693369060754776,-2.03,0.009899215772747993,407,1.0,0.2581333333333333,17499,17600,0.0003,50.0,-4.744795799255371,,
356,43,-3.6461355686187744,0.06376668810844421,-2.0,0.009440445341169834,412,1.0,0.26106666666666667,17699,17800,0.0003,50.0,-4.4325103759765625,,
360,43,-3.8340368270874023,0.07464295625686646,-1.97,0.009022786282002926,416,1.0,0.264,17899,18000,0.0003,50.0,-2.1303858757019043,,
364,43,-3.617046356201172,0.07107827067375183,-1.98,0.008638763800263405,421,1.0,0.2669333333333333,18099,18200,0.0003,50.0,-3.833073616027832,,
368,43,-3.8651680946350098,0.06524558365345001,-1.96,0.008271794766187668,425,1.0,0.26986666666666664,18299,18400,0.0003,50.0,-2.7962493896484375,,
372,43,-3.8709444999694824,0.05611284822225571,-1.92,0.00797030795365572,430,1.0,0.2728,18499,18600,0.0003,50.0,-2.0323784351348877,,
376,43,-3.6031274795532227,0.056882891803979874,-1.93,0.007618746720254421,434,1.0,0.27573333333333333,18699,18800,0.0003,50.0,-2.208904504776001,,
380,43,-3.920621395111084,0.0578974112868309,-1.89,0.00727951992303133,439,1.0,0.2786666666666667,18899,19000,0.0003,50.0,-2.6767897605895996,,
384,43,-3.7874491214752197,0.055964045226573944,-1.87,0.007039844989776611,443,1.0,0.2816,19099,19200,0.0003,50.0,-3.9590401649475098,,
388,43,-3.736583709716797,0.05544847995042801,-1.86,0.006745324470102787,448,1.0,0.2845333333333333,19299,19400,0.0003,50.0,-0.36277467012405396,,
392,43,-3.846715211868286,0.0655255913734436,-1.86,0.006487357895821333,452,1.0,0.28746666666666665,19499,19600,0.0003,50.0,-3.253567934036255,,
396,43,-3.7097291946411133,0.051187992095947266,-1.9,0.006239884067326784,456,1.0,0.2904,19699,19800,0.0003,50.0,-1.819453477859497,,
400,43,-3.722874164581299,0.06060398370027542,-1.91,0.006002778187394142,463,1.0,0.29333333333333333,19899,20000,0.0003,50.0,-0.9265211820602417,0.01483729824464033,1.0
404,43,-3.583249568939209,0.05247437581419945,-1.89,0.005826910026371479,468,1.0,0.2962666666666667,20099,20200,0.0003,50.0,-1.9190289974212646,,
408,43,-3.377173900604248,0.06124664843082428,-1.9,0.005660146940499544,472,1.0,0.29919999999999997,20299,20400,0.0003,50.0,-0.19285918772220612,,
412,43,-3.928811550140381,0.06519754230976105,-1.86,0.005492072086781263,477,1.0,0.3021333333333333,20499,20600,0.0003,50.0,-1.2604085206985474,,
416,43,-3.808655261993408,0.05543430894613266,-1.84,0.005335400812327862,481,1.0,0.30506666666666665,20699,20800,0.0003,50.0,-2.267364740371704,,
