rollout/success_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,curriculum/epsilon,train/critic_loss,time/episodes,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/clean_success_rate,eval/clean_mean_d
0.0,50.0,3200,61,-49.453125,0.0,0.21203286945819855,64,3099,-13.791746139526367,51,0.0003,-6.223794460296631,0.3948442339897156,,
0.0,50.0,3400,61,-49.48529411764706,0.0,0.18363960087299347,68,3299,-13.842930793762207,55,0.0003,-6.613070011138916,0.37187430262565613,,
0.0,50.0,3600,61,-49.458333333333336,0.0,0.18265189230442047,72,3499,-13.723733901977539,58,0.0003,-7.036210060119629,0.3502461314201355,,
0.0,50.0,3800,61,-49.30263157894737,0.0,0.19110488891601562,76,3699,-13.55882453918457,62,0.0003,-7.417235851287842,0.3298969566822052,,
0.0,50.0,4000,60,-49.225,0.0,0.19281402230262756,80,3899,-13.402048110961914,66,0.0003,-7.835163116455078,0.31073641777038574,,
0.0,50.0,4200,60,-49.26190476190476,0.0,0.20148965716362,84,4099,-13.134505271911621,69,0.0003,-8.229601860046387,0.29270848631858826,,
0.0,50.0,4400,59,-49.29545454545455,0.0,0.18293869495391846,88,4299,-12.83601188659668,73,0.0003,-8.477306365966797,0.2757463753223419,,
0.0,50.0,4600,59,-49.19565217391305,0.0,0.18231746554374695,92,4499,-12.574492454528809,77,0.0003,-8.937582969665527,0.2597990930080414,,
0.0,50.0,4800,59,-49.229166666666664,0.0,0.18197503685951233,96,4699,-12.097819328308105,80,0.0003,-9.22581958770752,0.24482113122940063,,
0.0,50.0,5000,58,-49.14,0.0,0.16470900177955627,100,4899,-11.898365020751953,85,0.0003,-9.760351181030273,0.230719655752182,0.4,0.15436603945942215
0.0,50.0,5200,58,-49.14,0.0,0.20038771629333496,104,5099,-11.469796180725098,89,0.0003,-10.020652770996094,0.2174636274576187,,
0.0,50.0,5400,57,-49.18,0.0,0.1807485818862915,108,5299,-11.185301780700684,93,0.0003,-10.289704322814941,0.20502552390098572,,
0.0,50.0,5600,57,-49.14,0.0,0.16067062318325043,112,5499,-10.73820686340332,96,0.0003,-10.5665922164917,0.19335521757602692,,
0.0,50.0,5800,57,-49.1,0.0,0.1752558797597885,116,5699,-10.319128036499023,100,0.0003,-10.82300090789795,0.1824083924293518,,
0.009999999776482582,50.0,6000,57,-48.77,0.0,0.16531461477279663,120,5899,-9.79353141784668,104,0.0003,-10.789892196655273,0.17214731872081757,,
0.009999999776482582,50.0,6200,57,-48.45,0.0,0.15757478773593903,124,6099,-9.728509902954102,107,0.0003,-11.055383682250977,0.1625162959098816,,
0.029999999329447746,50.0,6400,57,-48.14,0.0,0.16081289947032928,128,6299,-9.126611709594727,111,0.0003,-11.531856536865234,0.15348605811595917,,
0.029999999329447746,50.0,6600,57,-47.93,0.0,0.15030470490455627,132,6499,-8.61221694946289,114,0.0003,-11.591082572937012,0.14502297341823578,,
0.029999999329447746,50.0,6800,57,-47.71,0.0,0.146077498793602,136,6699,-8.22265911102295,118,0.0003,-11.52148723602295,0.1370692253112793,,
0.029999999329447746,50.0,7000,57,-47.16,0.0,0.1384788304567337,140,6899,-7.958045959472656,121,0.0003,-11.580304145812988,0.1296321600675583,,
0.05000000074505806,50.0,7200,57,-46.08,0.0,0.1582888513803482,144,7099,-7.504421234130859,125,0.0003,-11.354297637939453,0.12267130613327026,,
0.05000000074505806,50.0,7400,57,-45.23,0.0,0.16251790523529053,148,7299,-7.02958869934082,128,0.0003,-11.547969818115234,0.11615022271871567,,
0.07999999821186066,50.0,7600,57,-43.86,0.0,0.1665499359369278,152,7499,-6.728774070739746,132,0.0003,-11.660892486572266,0.1100289598107338,,
0.10999999940395355,50.0,7800,57,-42.18,0.0,0.1630537509918213,156,7699,-6.4420881271362305,135,0.0003,-11.659521102905273,0.104275181889534,,
0.12999999523162842,50.0,8000,57,-40.72,0.0,0.1308307945728302,160,7899,-6.041781425476074,139,0.0003,-11.069167137145996,0.09885164350271225,,
0.17000000178813934,50.0,8200,57,-39.34,0.0,0.1475612223148346,164,8099,-5.8060808181762695,142,0.0003,-11.043294906616211,0.09374456852674484,,
0.20999999344348907,50.0,8400,57,-38.01,0.0,0.1466313898563385,168,8299,-5.591506481170654,146,0.0003,-11.410143852233887,0.08894531428813934,,
0.25,50.0,8600,57,-36.35,0.0,0.1392132192850113,172,8499,-5.465500354766846,149,0.0003,-10.852484703063965,0.08443563431501389,,
0.28999999165534973,50.0,8800,57,-34.92,0.0,0.15115371346473694,176,8699,-5.39680814743042,153,0.0003,-11.143610000610352,0.0801956057548523,,
0.33000001311302185,50.0,9000,57,-33.22,0.0,0.13242489099502563,180,8899,-5.0349578857421875,156,0.0003,-10.706836700439453,0.07621815800666809,,
0.36000001430511475,50.0,9200,57,-31.36,0.0,0.13016492128372192,184,9099,-4.712332725524902,160,0.0003,-10.062582969665527,0.07249224185943604,,
0.4000000059604645,50.0,9400,57,-29.43,0.0,0.14259448647499084,188,9299,-4.6884942054748535,163,0.0003,-10.505392074584961,0.06898178905248642,,
0.4300000071525574,50.0,9600,57,-27.84,0.0,0.12672299146652222,192,9499,-4.572766304016113,167,0.0003,-10.450822830200195,0.0655435174703598,,
0.4699999988079071,50.0,9800,57,-25.9,0.0,0.11489634215831757,196,9699,-4.5523457527160645,170,0.0003,-10.45671272277832,0.0623774379491806,,
0.5099999904632568,50.0,10000,56,-24.1,0.0,0.12535949051380157,200,9899,-4.358358383178711,176,0.0003,-9.676527976989746,0.059394095093011856,1.0,0.010656294184230919
0.550000011920929,50.0,10200,56,-22.17,0.0,0.127750426530838,204,10099,-4.334222316741943,180,0.0003,-9.430488586425781,0.05662155523896217,,
0.5899999737739563,50.0,10400,56,-20.27,0.0,0.11805069446563721,208,10299,-4.696279525756836,184,0.0003,-9.4497709274292,0.053925324231386185,,
0.6299999952316284,50.0,10600,55,-18.43,0.0,0.11709171533584595,212,10499,-4.529717922210693,189,0.0003,-9.322782516479492,0.051436953246593475,,
0.6700000166893005,50.0,10800,55,-16.54,0.0,0.13021990656852722,216,10699,-4.298962593078613,194,0.0003,-8.397384643554688,0.04913051798939705,,
0.699999988079071,50.0,11000,55,-14.95,0.0,0.11384105682373047,220,10899,-4.52872371673584,199,0.0003,-8.167513847351074,0.04690209776163101,,
0.7400000095367432,50.0,11200,55,-13.36,0.0,0.1430155634880066,224,11099,-4.185357093811035,203,0.0003,-7.664427757263184,0.04473976418375969,,
0.7599999904632568,50.0,11400,55,-11.75,0.0,0.11254515498876572,228,11299,-4.644725799560547,206,0.0003,-9.044990539550781,0.042684100568294525,,
0.800000011920929,50.0,11600,55,-10.03,0.0,0.1228177398443222,232,11499,-4.149481773376465,210,0.0003,-6.79512357711792,0.04070741683244705,,
0.8399999737739563,50.0,11800,54,-8.34,0.0,0.0906667709350586,236,11699,-4.574197769165039,214,0.0003,-7.763887882232666,0.03881730139255524,,
0.8799999952316284,50.0,12000,54,-6.96,0.0,0.10965853929519653,240,11899,-4.7182536125183105,218,0.0003,-7.679869651794434,0.037026017904281616,,
0.8999999761581421,50.0,12200,54,-6.1,0.0,0.11069969832897186,244,12099,-4.708637714385986,222,0.0003,-7.016357421875,0.035285383462905884,,
0.9399999976158142,50.0,12400,54,-5.05,0.0,0.0978645533323288,248,12299,-4.551745891571045,226,0.0003,-7.405234336853027,0.033598292618989944,,
0.949999988079071,50.0,12600,54,-4.51,0.0,0.1018323302268982,252,12499,-4.862969875335693,229,0.0003,-7.538961410522461,0.03197132423520088,,
0.9599999785423279,50.0,12800,54,-4.28,0.0,0.09091135859489441,256,12699,-4.652487754821777,233,0.0003,-7.186446189880371,0.030393008142709732,,
0.9800000190734863,50.0,13000,54,-3.8,0.0,0.0892239362001419,260,12899,-5.141671657562256,237,0.0003,-8.230480194091797,0.028873665258288383,,
0.9800000190734863,50.0,13200,54,-3.43,0.0,0.07921148836612701,264,13099,-4.782229423522949,241,0.0003,-7.288204669952393,0.027422918006777763,,
0.9800000190734863,50.0,13400,54,-2.83,0.0,0.08205581456422806,268,13299,-4.989388942718506,245,0.0003,-7.357785224914551,0.02603244222700596,,
0.9800000190734863,50.0,13600,54,-2.61,0.0,0.07311434298753738,272,13499,-5.028761863708496,249,0.0003,-8.46643352508545,0.024710573256015778,,
0.9800000190734863,50.0,13800,54,-2.25,0.0,0.08843424916267395,276,13699,-4.877030372619629,253,0.0003,-8.343964576721191,0.02343747206032276,,
0.9800000190734863,50.0,14000,54,-2.13,0.0,0.08149263262748718,280,13899,-4.8214850425720215,256,0.0003,-7.825603485107422,0.022217262536287308,,
0.9900000095367432,50.0,14200,54,-2.06,0.0,0.08528371900320053,284,14099,-4.677254676818848,260,0.0003,-7.116392135620117,0.02107134647667408,,
0.9900000095367432,50.0,14400,54,-2.06,0.0,0.06703900545835495,288,14299,-4.703737258911133,263,0.0003,-6.269615173339844,0.019996222108602524,,
1.0,50.0,14600,54,-1.84,0.0,0.0802232027053833,292,14499,-4.781028747558594,267,0.0003,-7.1204986572265625,0.018991246819496155,,
1.0,50.0,14800,54,-1.84,0.0,0.07882969081401825,296,14699,-4.893103122711182,270,0.0003,-6.897347450256348,0.018044281750917435,,
1.0,50.0,15000,54,-1.82,0.0,0.06226368248462677,300,14899,-4.939028739929199,275,0.0003,-6.975465774536133,0.0171577837318182,1.0,0.01005862210490976
1.0,50.0,15200,54,-1.82,0.0,0.06300151348114014,304,15099,-4.814546585083008,279,0.0003,-7.830207824707031,0.016323227435350418,,
