time/episodes,rollout/success_rate,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,curriculum/epsilon,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,time/time_elapsed,eval/clean_mean_d,eval/clean_success_rate
92,0.0,-8.940643310546875,-49.54347826086956,21,0.2024,0.1728367656469345,0.2598005533218384,0.0003,4499,50.0,4600,-12.654428482055664,211,,
96,0.0,-9.281027793884277,-49.5625,21,0.2112,0.17659194767475128,0.24481798708438873,0.0003,4699,50.0,4800,-12.148536682128906,221,,
100,0.0,-9.737015724182129,-49.53,21,0.22,0.16432024538516998,0.23072277009487152,0.0003,4899,50.0,5000,-11.975018501281738,236,0.14573420030538348,0.4
104,0.0,-9.980937957763672,-49.5,21,0.2288,0.17632168531417847,0.2174670249223709,0.0003,5099,50.0,5200,-11.599907875061035,246,,
108,0.0,-10.26988697052002,-49.53,21,0.2376,0.16954383254051208,0.2050149291753769,0.0003,5299,50.0,5400,-11.319849014282227,255,,
112,0.009999999776482582,-10.668978691101074,-49.44,21,0.24639999999999998,0.16864344477653503,0.19333358108997345,0.0003,5499,50.0,5600,-10.901365280151367,265,,
116,0.009999999776482582,-10.772714614868164,-49.38,21,0.2552,0.1702132672071457,0.18236690759658813,0.0003,5699,50.0,5800,-10.542693138122559,274,,
120,0.009999999776482582,-10.800374984741211,-49.35,21,0.264,0.17453424632549286,0.17210610210895538,0.0003,5899,50.0,6000,-10.041762351989746,284,,
124,0.009999999776482582,-11.084037780761719,-49.31,21,0.2728,0.17976191639900208,0.16246366500854492,0.0003,6099,50.0,6200,-9.812948226928711,293,,
128,0.009999999776482582,-11.468852996826172,-49.24,21,0.2816,0.17940112948417664,0.1534366011619568,0.0003,6299,50.0,6400,-9.325568199157715,303,,
132,0.019999999552965164,-11.509230613708496,-49.15,21,0.2904,0.15528357028961182,0.14497493207454681,0.0003,6499,50.0,6600,-8.911977767944336,312,,
136,0.019999999552965164,-11.514565467834473,-49.0,21,0.29919999999999997,0.16726568341255188,0.13701748847961426,0.0003,6699,50.0,6800,-8.439350128173828,322,,
140,0.029999999329447746,-11.668658256530762,-48.36,21,0.308,0.14292427897453308,0.12957775592803955,0.0003,6899,50.0,7000,-8.203699111938477,331,,
144,0.029999999329447746,-11.515265464782715,-48.07,21,0.31679999999999997,0.16026893258094788,0.12259595841169357,0.0003,7099,50.0,7200,-7.82602596282959,340,,
148,0.03999999910593033,-11.671557426452637,-47.61,21,0.3256,0.15443947911262512,0.11604252457618713,0.0003,7299,50.0,7400,-7.33017110824585,350,,
152,0.03999999910593033,-11.818608283996582,-47.25,21,0.3344,0.16162297129631042,0.10988275706768036,0.0003,7499,50.0,7600,-7.220186710357666,359,,
156,0.05000000074505806,-11.75174617767334,-46.47,21,0.3432,0.1991119533777237,0.10408786684274673,0.0003,7699,50.0,7800,-6.647997856140137,369,,
160,0.05999999865889549,-11.293427467346191,-45.79,21,0.352,0.12916217744350433,0.09863773733377457,0.0003,7899,50.0,8000,-6.618854522705078,378,,
164,0.07000000029802322,-11.19213581085205,-45.1,21,0.3608,0.14394128322601318,0.09350873529911041,0.0003,8099,50.0,8200,-6.227848529815674,388,,
168,0.09000000357627869,-11.755906105041504,-44.49,21,0.3696,0.1725558042526245,0.0886799544095993,0.0003,8299,50.0,8400,-6.111433506011963,398,,
172,0.09000000357627869,-11.59924602508545,-43.88,21,0.3784,0.1677432656288147,0.0840996503829956,0.0003,8499,50.0,8600,-5.674795627593994,407,,
176,0.09000000357627869,-11.487764358520508,-43.06,21,0.3872,0.16414614021778107,0.07980161160230637,0.0003,8699,50.0,8800,-5.757751941680908,417,,
180,0.11999999731779099,-10.849309921264648,-41.75,21,0.39599999999999996,0.15990963578224182,0.07574572414159775,0.0003,8899,50.0,9000,-5.173671722412109,426,,
184,0.1599999964237213,-10.729698181152344,-40.26,21,0.4048,0.15020260214805603,0.07193208485841751,0.0003,9099,50.0,9200,-4.886805534362793,435,,
188,0.1899999976158142,-10.910994529724121,-38.73,21,0.41359999999999997,0.19972661137580872,0.0683116763830185,0.0003,9299,50.0,9400,-4.805083751678467,445,,
192,0.2199999988079071,-10.931233406066895,-37.09,21,0.4224,0.16308541595935822,0.06490549445152283,0.0003,9499,50.0,9600,-4.717203140258789,454,,
196,0.25999999046325684,-11.279953956604004,-35.27,21,0.43119999999999997,0.18026211857795715,0.061717841774225235,0.0003,9699,50.0,9800,-4.564346790313721,464,,
200,0.30000001192092896,-10.123006820678711,-33.62,20,0.44,0.17111846804618835,0.05867995321750641,0.0003,9899,50.0,10000,-4.2060627937316895,477,0.017156280237231827,1.0
204,0.33000001311302185,-10.432952880859375,-32.16,20,0.4488,0.16842235624790192,0.05578037351369858,0.0003,10099,50.0,10200,-4.3842573165893555,488,,
208,0.3700000047683716,-10.486185073852539,-30.44,20,0.4576,0.15714064240455627,0.053027622401714325,0.0003,10299,50.0,10400,-4.6943254470825195,497,,
212,0.4000000059604645,-10.522063255310059,-28.85,20,0.4664,0.1577821671962738,0.050437022000551224,0.0003,10499,50.0,10600,-4.305171489715576,507,,
216,0.4399999976158142,-9.951493263244629,-27.09,20,0.4752,0.21690353751182556,0.048023417592048645,0.0003,10699,50.0,10800,-4.070916175842285,517,,
220,0.47999998927116394,-9.357620239257812,-25.35,20,0.484,0.15988528728485107,0.04571232944726944,0.0003,10899,50.0,11000,-4.108359336853027,527,,
224,0.5199999809265137,-9.037650108337402,-23.52,20,0.49279999999999996,0.15164321660995483,0.043544985353946686,0.0003,11099,50.0,11200,-3.7025129795074463,536,,
228,0.5400000214576721,-10.307580947875977,-21.89,20,0.5015999999999999,0.15697942674160004,0.041450753808021545,0.0003,11299,50.0,11400,-4.004173755645752,546,,
232,0.5699999928474426,-7.939427852630615,-20.14,20,0.5104,0.17674803733825684,0.039467938244342804,0.0003,11499,50.0,11600,-3.577244758605957,556,,
236,0.6000000238418579,-8.944794654846191,-18.58,20,0.5192,0.15745499730110168,0.03760358691215515,0.0003,11699,50.0,11800,-3.9952855110168457,565,,
240,0.6200000047683716,-8.98779582977295,-17.49,20,0.528,0.1740836501121521,0.035844627767801285,0.0003,11899,50.0,12000,-4.0751051902771,575,,
244,0.6600000262260437,-8.198831558227539,-15.88,20,0.5367999999999999,0.16060519218444824,0.034146133810281754,0.0003,12099,50.0,12200,-3.6288602352142334,584,,
248,0.6899999976158142,-8.253870964050293,-14.52,20,0.5456,0.1454254388809204,0.03255051001906395,0.0003,12299,50.0,12400,-4.068852424621582,593,,
252,0.7300000190734863,-7.66434383392334,-13.1,20,0.5544,0.142954483628273,0.03101244382560253,0.0003,12499,50.0,12600,-4.049918174743652,603,,
256,0.75,-8.69849967956543,-12.39,20,0.5632,0.19763731956481934,0.02954797074198723,0.0003,12699,50.0,12800,-3.6843910217285156,612,,
260,0.7799999713897705,-8.209242820739746,-11.21,20,0.572,0.1531771719455719,0.028135497123003006,0.0003,12899,50.0,13000,-3.818049430847168,622,,
264,0.8100000023841858,-6.787341117858887,-10.19,20,0.5808,0.15558825433254242,0.0268480833619833,0.0003,13099,50.0,13200,-3.6746907234191895,631,,
268,0.8299999833106995,-6.879769325256348,-8.87,20,0.5896,0.1643957495689392,0.025647073984146118,0.0003,13299,50.0,13400,-4.003366470336914,641,,
272,0.8700000047683716,-7.9573211669921875,-7.58,20,0.5983999999999999,0.1667594462633133,0.024539314210414886,0.0003,13499,50.0,13600,-4.046047210693359,650,,
276,0.9100000262260437,-7.3438615798950195,-6.5,20,0.6072,0.16186504065990448,0.023458614945411682,0.0003,13699,50.0,13800,-3.983185291290283,660,,
280,0.9200000166893005,-5.810436725616455,-5.92,20,0.616,0.13298040628433228,0.022422151640057564,0.0003,13899,50.0,14000,-4.0385942459106445,669,,
284,0.9200000166893005,-6.726574897766113,-5.67,20,0.6248,0.1588330864906311,0.0214234609156847,0.0003,14099,50.0,14200,-3.864389419555664,679,,
288,0.9300000071525574,-5.2930169105529785,-5.32,20,0.6335999999999999,0.12446995079517365,0.02044469490647316,0.0003,14299,50.0,14400,-3.7659823894500732,688,,
292,0.9399999976158142,-6.354948997497559,-5.07,20,0.6424,0.14040124416351318,0.019482973963022232,0.0003,14499,50.0,14600,-4.032340049743652,698,,
296,0.9399999976158142,-4.906269073486328,-5.0,20,0.6512,0.14614081382751465,0.018600746989250183,0.0003,14699,50.0,14800,-4.137124538421631,707,,
300,0.9399999976158142,-5.672678470611572,-4.84,20,0.66,0.14804138243198395,0.01774740219116211,0.0003,14899,50.0,15000,-4.269748210906982,720,0.013564988455239976,1.0
304,0.949999988079071,-6.340956687927246,-4.42,20,0.6688,0.13665378093719482,0.01694360002875328,0.0003,15099,50.0,15200,-4.140259742736816,730,,
308,0.949999988079071,-4.900335788726807,-4.29,20,0.6776,0.12538354098796844,0.01613716408610344,0.0003,15299,50.0,15400,-4.063607692718506,739,,
312,0.949999988079071,-5.64919376373291,-4.18,20,0.6864,0.10950316488742828,0.015372395515441895,0.0003,15499,50.0,15600,-4.244275093078613,749,,
316,0.949999988079071,-5.662234783172607,-4.05,20,0.6951999999999999,0.1314716637134552,0.014679161831736565,0.0003,15699,50.0,15800,-4.37995719909668,758,,
320,0.949999988079071,-5.327058792114258,-3.91,20,0.704,0.12388356029987335,0.014038012363016605,0.0003,15899,50.0,16000,-4.416820049285889,768,,
324,0.949999988079071,-5.576749801635742,-3.89,20,0.7128,0.10663475096225739,0.013404264114797115,0.0003,16099,50.0,16200,-4.505054473876953,777,,
328,0.9700000286102295,-5.2403950691223145,-3.79,20,0.7216,0.11350798606872559,0.012832583859562874,0.0003,16299,50.0,16400,-4.352347373962402,787,,
332,0.9700000286102295,-2.6176350116729736,-3.7,20,0.7303999999999999,0.12917037308216095,0.012250707484781742,0.0003,16499,50.0,16600,-4.300704002380371,797,,
336,0.9800000190734863,-5.197724342346191,-3.7,20,0.7392,0.1165286973118782,0.011710661463439465,0.0003,16699,50.0,16800,-4.253059387207031,806,,
340,0.9800000190734863,-2.7496237754821777,-3.79,20,0.748,0.11905981600284576,0.011192341335117817,0.0003,16899,50.0,17000,-4.452818393707275,816,,
