curriculum/epsilon,time/time_elapsed,rollout/success_rate,train/learning_rate,train/critic_loss,time/fps,train/ent_coef,time/total_timesteps,train/ent_coef_loss,train/actor_loss,train/n_updates,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,eval/clean_mean_d,eval/clean_success_rate
1.1,4,0.0,0.0003,0.1954818218946457,46,0.971028745174408,200,-0.19783487915992737,-5.014219760894775,99,4,50.0,-50.0,,
1.1,13,0.0,0.0003,0.2574978470802307,29,0.9144871234893799,400,-0.60057532787323,-6.031223297119141,299,8,50.0,-50.0,,
1.1,22,0.0,0.0003,0.16653725504875183,26,0.8612205982208252,600,-1.0088485479354858,-7.044924736022949,499,12,50.0,-50.0,,
1.1,31,0.0,0.0003,0.18180958926677704,25,0.8110600709915161,800,-1.407421588897705,-8.019919395446777,699,16,50.0,-50.0,,
1.1,41,0.0,0.0003,0.17032542824745178,24,0.7638139724731445,1000,-1.8132984638214111,-8.955537796020508,899,20,50.0,-50.0,,
1.1,50,0.0,0.0003,0.18628311157226562,23,0.7193397879600525,1200,-2.210961103439331,-9.818333625793457,1099,24,50.0,-50.0,,
1.1,59,0.0,0.0003,0.1775093674659729,23,0.6774559617042542,1400,-2.612675189971924,-10.531075477600098,1299,28,50.0,-50.0,,
1.1,68,0.0,0.0003,0.13985219597816467,23,0.6379979848861694,1600,-3.025604724884033,-11.346006393432617,1499,32,50.0,-50.0,,
1.1,78,0.0,0.0003,0.14487150311470032,23,0.6008365750312805,1800,-3.4366776943206787,-11.729673385620117,1699,36,50.0,-50.0,,
1.1,87,0.0,0.0003,0.15830358862876892,22,0.5658501982688904,2000,-3.82230281829834,-12.395453453063965,1899,40,50.0,-50.0,,
1.1,96,0.0,0.0003,0.15989655256271362,22,0.5329005122184753,2200,-4.223361015319824,-12.624988555908203,2099,44,50.0,-50.0,,
1.1,106,0.0,0.0003,0.15433269739151,22,0.5018879175186157,2400,-4.629263401031494,-13.062250137329102,2299,48,50.0,-49.958333333333336,,
1.1,116,0.0,0.0003,0.16462168097496033,22,0.47267088294029236,2600,-5.038067817687988,-13.450591087341309,2499,52,50.0,-49.96153846153846,,
1.1,125,0.0,0.0003,0.14037534594535828,22,0.44515255093574524,2800,-5.4160356521606445,-13.726601600646973,2699,56,50.0,-49.964285714285715,,
1.1,135,0.0,0.0003,0.1344471275806427,22,0.4192497134208679,3000,-5.830568790435791,-13.64925479888916,2899,60,50.0,-49.96666666666667,,
1.1,145,0.0,0.0003,0.1480197310447693,22,0.39487528800964355,3200,-6.2179365158081055,-14.14135456085205,3099,64,50.0,-49.96875,,
1.1,154,0.0,0.0003,0.11864233016967773,21,0.3719143867492676,3400,-6.6136794090271,-14.091306686401367,3299,68,50.0,-49.970588235294116,,
1.1,164,0.0,0.0003,0.12045171856880188,21,0.35030537843704224,3600,-7.004988193511963,-13.940961837768555,3499,72,50.0,-49.97222222222222,,
1.1,175,0.0,0.0003,0.15026022493839264,21,0.32997387647628784,3800,-7.404474258422852,-14.234965324401855,3699,76,50.0,-49.973684210526315,,
1.1,185,0.0,0.0003,0.126987487077713,21,0.3108416795730591,4000,-7.810564994812012,-13.749421119689941,3899,80,50.0,-49.975,,
1.1,195,0.0,0.0003,0.14140689373016357,21,0.29283273220062256,4200,-8.176241874694824,-14.287980079650879,4099,84,50.0,-49.976190476190474,,
1.1,204,0.0,0.0003,0.10715095698833466,21,0.27589717507362366,4400,-8.497615814208984,-13.57442855834961,4299,88,50.0,-49.97727272727273,,
1.1,214,0.0,0.0003,0.10463890433311462,21,0.2599717676639557,4600,-8.845381736755371,-13.638395309448242,4499,92,50.0,-49.97826086956522,,
1.1,225,0.0,0.0003,0.13245061039924622,21,0.2449972778558731,4800,-9.309576988220215,-13.148621559143066,4699,96,50.0,-49.979166666666664,,
1.1,240,0.0,0.0003,0.1231260895729065,20,0.23091135919094086,5000,-9.515481948852539,-13.10305404663086,4899,100,50.0,-49.98,0.15558628716423623,0.3
1.1,249,0.0,0.0003,0.15746983885765076,20,0.21766869723796844,5200,-9.86738109588623,-12.834989547729492,5099,104,50.0,-49.97,,
1.1,259,0.0,0.0003,0.11795103549957275,20,0.2052142173051834,5400,-10.1902494430542,-12.464466094970703,5299,108,50.0,-49.97,,
1.1,268,0.0,0.0003,0.12905019521713257,20,0.19352495670318604,5600,-10.746915817260742,-12.365942001342773,5499,112,50.0,-49.97,,
1.1,278,0.0,0.0003,0.14750179648399353,20,0.18253064155578613,5800,-10.687861442565918,-11.936795234680176,5699,116,50.0,-49.97,,
1.1,287,0.0,0.0003,0.15724337100982666,20,0.17221581935882568,6000,-11.133072853088379,-11.752213478088379,5899,120,50.0,-49.97,,
1.1,297,0.0,0.0003,0.13997474312782288,20,0.16250509023666382,6200,-11.25146770477295,-11.510690689086914,6099,124,50.0,-49.97,,
1.1,306,0.0,0.0003,0.14575833082199097,20,0.15338996052742004,6400,-11.335131645202637,-11.049381256103516,6299,128,50.0,-49.96,,
1.1,316,0.0,0.0003,0.1451665610074997,20,0.14484551548957825,6600,-11.594043731689453,-10.99352741241455,6499,132,50.0,-49.95,,
1.1,325,0.0,0.0003,0.15435028076171875,20,0.13679391145706177,6800,-11.802961349487305,-10.33457088470459,6699,136,50.0,-49.94,,
1.1,335,0.0,0.0003,0.2073066681623459,20,0.1292266547679901,7000,-12.183417320251465,-10.018569946289062,6899,140,50.0,-49.93,,
1.1,344,0.0,0.0003,0.1595507562160492,20,0.12210394442081451,7200,-12.12065315246582,-9.564815521240234,7099,144,50.0,-49.91,,
1.1,354,0.0,0.0003,0.1569288969039917,20,0.11538702249526978,7400,-12.264981269836426,-9.625190734863281,7299,148,50.0,-49.91,,
1.1,363,0.0,0.0003,0.19269287586212158,20,0.10907907038927078,7600,-12.599143981933594,-8.991890907287598,7499,152,50.0,-49.91,,
1.1,373,0.0,0.0003,0.19486814737319946,20,0.10313272476196289,7800,-12.579141616821289,-8.959392547607422,7699,156,50.0,-49.8,,
1.1,383,0.0,0.0003,0.14336350560188293,20,0.09753964841365814,8000,-12.569074630737305,-8.943869590759277,7899,160,50.0,-49.51,,
1.1,392,0.0,0.0003,0.19629110395908356,20,0.09225113689899445,8200,-12.554264068603516,-8.765199661254883,8099,164,50.0,-49.49,,
1.1,402,0.0,0.0003,0.2242162525653839,20,0.08726274967193604,8400,-13.067496299743652,-8.492514610290527,8299,168,50.0,-49.44,,
1.1,411,0.0,0.0003,0.2440231740474701,20,0.08258385211229324,8600,-12.524459838867188,-7.914890766143799,8499,172,50.0,-49.44,,
1.1,421,0.0,0.0003,0.22666043043136597,20,0.07815078645944595,8800,-12.811687469482422,-8.146768569946289,8699,176,50.0,-49.41,,
1.1,430,0.0,0.0003,0.214739590883255,20,0.0739869475364685,9000,-12.927478790283203,-7.0450439453125,8899,180,50.0,-49.41,,
1.1,440,0.0,0.0003,0.249435156583786,20,0.07003076374530792,9200,-12.779102325439453,-6.6872148513793945,9099,184,50.0,-49.41,,
1.1,449,0.0,0.0003,0.3160421848297119,20,0.06628802418708801,9400,-13.505306243896484,-6.7668938636779785,9299,188,50.0,-49.4,,
1.1,459,0.0,0.0003,0.19959744811058044,20,0.0627831220626831,9600,-13.098294258117676,-6.5694756507873535,9499,192,50.0,-49.22,,
1.1,468,0.009999999776482582,0.0003,0.23156626522541046,20,0.0594637468457222,9800,-12.91757583618164,-6.313753128051758,9699,196,50.0,-48.86,,
1.1,483,0.009999999776482582,0.0003,0.2576335072517395,20,0.0563325397670269,10000,-12.754852294921875,-6.143296241760254,9899,200,50.0,-48.76,0.03405071614695952,1.0
1.1,492,0.019999999552965164,0.0003,0.2797966003417969,20,0.05338407680392265,10200,-12.469619750976562,-5.868694305419922,10099,204,50.0,-48.47,,
1.1,502,0.029999999329447746,0.0003,0.2475743293762207,20,0.050602737814188004,10400,-12.540881156921387,-6.092676639556885,10299,208,50.0,-48.19,,
1.1,512,0.029999999329447746,0.0003,0.2647324204444885,20,0.04795576259493828,10600,-13.253701210021973,-5.412373065948486,10499,212,50.0,-48.16,,
1.1,522,0.05000000074505806,0.0003,0.27634862065315247,20,0.045478455722332,10800,-12.35448932647705,-4.83856725692749,10699,216,50.0,-47.55,,
1.1,531,0.05000000074505806,0.0003,0.29659342765808105,20,0.04310481995344162,11000,-12.839384078979492,-4.95323371887207,10899,220,50.0,-47.49,,
1.1,541,0.05000000074505806,0.0003,0.2969079613685608,20,0.04084150493144989,11200,-12.133021354675293,-3.6387264728546143,11099,224,50.0,-47.45,,
1.1,551,0.05999999865889549,0.0003,0.2603452205657959,20,0.03871963173151016,11400,-12.542765617370605,-4.09086799621582,11299,228,50.0,-46.51,,
1.1,560,0.05999999865889549,0.0003,0.3220698833465576,20,0.03673091530799866,11600,-11.355855941772461,-3.527590036392212,11499,232,50.0,-46.52,,
1.1,570,0.07000000029802322,0.0003,0.2879204750061035,20,0.03484375402331352,11800,-12.190561294555664,-3.3220720291137695,11699,236,50.0,-46.24,,
1.1,579,0.09000000357627869,0.0003,0.2951546609401703,20,0.03306742385029793,12000,-11.525879859924316,-2.9692673683166504,11899,240,50.0,-45.57,,
1.1,589,0.10999999940395355,0.0003,0.3167034387588501,20,0.031377799808979034,12200,-10.599408149719238,-2.456752061843872,12099,244,50.0,-44.89,,
1.1,598,0.11999999731779099,0.0003,0.3981876075267792,20,0.029786933213472366,12400,-11.611079216003418,-2.1249029636383057,12299,248,50.0,-44.34,,
1.1,607,0.12999999523162842,0.0003,0.4176045358181,20,0.028292464092373848,12600,-10.953256607055664,-2.4872543811798096,12499,252,50.0,-43.74,,
1.1,617,0.12999999523162842,0.0003,0.33485132455825806,20,0.02689068391919136,12800,-11.30344009399414,-2.1454904079437256,12699,256,50.0,-43.38,,
1.1,626,0.15000000596046448,0.0003,0.39351654052734375,20,0.025553463026881218,13000,-11.292838096618652,-2.642505645751953,12899,260,50.0,-42.68,,
1.1,636,0.1599999964237213,0.0003,0.36681416630744934,20,0.024280807003378868,13200,-9.726197242736816,-1.331773042678833,13099,264,50.0,-42.08,,
1.1,645,0.17000000178813934,0.0003,0.42641234397888184,20,0.023108109831809998,13400,-10.274706840515137,-2.2135400772094727,13299,268,50.0,-41.73,,
1.1,654,0.17000000178813934,0.0003,0.37196701765060425,20,0.022007837891578674,13600,-10.901155471801758,-1.474958896636963,13499,272,50.0,-41.03,,
