train/actor_loss,train/ent_coef_loss,train/n_updates,time/episodes,time/fps,train/ent_coef,time/total_timesteps,curriculum/epsilon,rollout/success_rate,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,eval/clean_success_rate,eval/clean_mean_d
-5.020396709442139,-0.1979709267616272,99,4,45,0.9710298776626587,200,0.0,0.0,-50.0,0.22445321083068848,0.0003,50.0,4,,
-6.175149917602539,-0.6007987260818481,299,8,29,0.9144806861877441,400,0.0,0.0,-49.0,0.28663262724876404,0.0003,50.0,13,,
-7.231837272644043,-1.009331464767456,499,12,26,0.8612071871757507,600,0.0,0.0,-48.916666666666664,0.23568877577781677,0.0003,50.0,22,,
-8.216607093811035,-1.4061025381088257,699,16,25,0.8110504150390625,800,0.0,0.0,-49.125,0.1991914063692093,0.0003,50.0,31,,
-9.094169616699219,-1.8151795864105225,899,20,24,0.7638074159622192,1000,0.0,0.0,-49.3,0.19860216975212097,0.0003,50.0,40,,
-9.872360229492188,-2.2133281230926514,1099,24,23,0.7193285822868347,1200,0.0,0.0,-49.416666666666664,0.2047429233789444,0.0003,50.0,50,,
-10.753626823425293,-2.6103997230529785,1299,28,23,0.6774448752403259,1400,0.0,0.0,-49.5,0.22065341472625732,0.0003,50.0,59,,
-11.508935928344727,-3.025128126144409,1499,32,23,0.6379939913749695,1600,0.0,0.0,-49.5625,0.19965466856956482,0.0003,50.0,68,,
-12.056144714355469,-3.439014196395874,1699,36,23,0.600838303565979,1800,0.0,0.0,-49.611111111111114,0.1959751546382904,0.0003,50.0,77,,
-12.66335678100586,-3.8264973163604736,1899,40,23,0.5658565163612366,2000,0.0,0.0,-49.65,0.21588373184204102,0.0003,50.0,86,,
-13.032597541809082,-4.226293087005615,2099,44,22,0.532907247543335,2200,0.0,0.0,-49.68181818181818,0.20836098492145538,0.0003,50.0,95,,
-13.315816879272461,-4.631510257720947,2299,48,22,0.5018882155418396,2400,0.0,0.0,-49.666666666666664,0.22578555345535278,0.0003,50.0,105,,
-13.631999015808105,-5.046611309051514,2499,52,22,0.4726629853248596,2600,0.0,0.0,-49.67307692307692,0.1937500238418579,0.0003,50.0,114,,
-13.712776184082031,-5.432288646697998,2699,56,22,0.4451373517513275,2800,0.0,0.0,-49.67857142857143,0.19183844327926636,0.0003,50.0,123,,
-13.805910110473633,-5.837828159332275,2899,60,22,0.41922616958618164,3000,0.0,0.0,-49.68333333333333,0.18585732579231262,0.0003,50.0,133,,
-13.807430267333984,-6.225320816040039,3099,64,22,0.39484044909477234,3200,0.0,0.0,-49.453125,0.2100178599357605,0.0003,50.0,143,,
