train/actor_loss,train/ent_coef_loss,train/n_updates,time/episodes,time/fps,train/ent_coef,time/total_timesteps,curriculum/epsilon,rollout/success_rate,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,eval/clean_success_rate,eval/clean_mean_d
-9.966968536376953,-11.773880004882812,6499,132,15,0.1443682163953781,6600,0.0,0.0,-49.7,0.13224545121192932,0.0003,50.0,414,,
-9.661675453186035,-11.886659622192383,6699,136,15,0.13630786538124084,6800,0.0,0.0,-49.68,0.15199214220046997,0.0003,50.0,427,,
-8.87421703338623,-11.814051628112793,6899,140,15,0.1287773698568344,7000,0.0,0.0,-49.77,0.14446724951267242,0.0003,50.0,439,,
-8.86180305480957,-11.934765815734863,7099,144,15,0.1217142641544342,7200,0.0,0.0,-49.81,0.14869113266468048,0.0003,50.0,452,,
-8.196661949157715,-12.189099311828613,7299,148,15,0.11509830504655838,7400,0.0,0.0,-49.8,0.1251825988292694,0.0003,50.0,464,,
-7.995073318481445,-12.576567649841309,7499,152,15,0.10886822640895844,7600,0.0,0.0,-49.71,0.1674569547176361,0.0003,50.0,477,,
-7.637312889099121,-12.55862045288086,7699,156,15,0.10302294790744781,7800,0.0,0.0,-49.65,0.1368945837020874,0.0003,50.0,489,,
-7.232259750366211,-12.447113037109375,7899,160,15,0.09753383696079254,8000,0.0,0.009999999776482582,-49.39,0.13458117842674255,0.0003,50.0,502,,
-6.839529514312744,-12.012322425842285,8099,164,15,0.09232480078935623,8200,0.0,0.009999999776482582,-49.08,0.12711036205291748,0.0003,50.0,515,,
-6.167026519775391,-12.134343147277832,8299,168,15,0.08745293319225311,8400,0.0,0.009999999776482582,-48.95,0.11674906313419342,0.0003,50.0,527,,
-5.8243889808654785,-12.684904098510742,8499,172,15,0.08284616470336914,8600,0.0,0.019999999552965164,-48.93,0.12846660614013672,0.0003,50.0,540,,
-5.400445461273193,-12.391716003417969,8699,176,15,0.07852945476770401,8800,0.0,0.019999999552965164,-48.31,0.119611956179142,0.0003,50.0,553,,
-5.236597061157227,-12.731196403503418,8899,180,15,0.07446831464767456,9000,0.0,0.029999999329447746,-47.61,0.12349437177181244,0.0003,50.0,566,,
-4.67374849319458,-12.079316139221191,9099,184,15,0.07064227759838104,9200,0.0,0.03999999910593033,-46.94,0.1168353408575058,0.0003,50.0,578,,
-4.735630035400391,-12.466312408447266,9299,188,15,0.06704174727201462,9400,0.0,0.05000000074505806,-46.21,0.1332094371318817,0.0003,50.0,591,,
-4.057717323303223,-11.284577369689941,9499,192,15,0.06365856528282166,9600,0.002794,0.07000000029802322,-45.32,0.1318739354610443,0.0003,50.0,604,,
-4.112005710601807,-12.335256576538086,9699,196,15,0.06047286093235016,9800,0.007194,0.09000000357627869,-44.49,0.14338546991348267,0.0003,50.0,617,,
-3.521988868713379,-11.614205360412598,9899,200,15,0.05748072639107704,10000,0.011594,0.10000000149011612,-43.66,0.12943744659423828,0.0003,50.0,634,1.0,0.0408597245809858
-3.145404577255249,-11.121469497680664,10099,204,15,0.054668039083480835,10200,0.015994,0.10999999940395355,-42.55,0.12310118973255157,0.0003,50.0,647,,
-2.9961962699890137,-10.016510963439941,10299,208,15,0.05200527235865593,10400,0.020394,0.14000000059604645,-40.87,0.11040894687175751,0.0003,50.0,659,,
-2.821345567703247,-10.678479194641113,10499,212,15,0.04949243739247322,10600,0.024794,0.17000000178813934,-39.35,0.13677941262722015,0.0003,50.0,672,,
