rollout/success_rate,train/ent_coef_loss,time/total_timesteps,time/episodes,train/actor_loss,curriculum/epsilon,train/critic_loss,rollout/ep_len_mean,train/n_updates,train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,eval/clean_mean_d,eval/clean_success_rate
0.0,-0.19796448945999146,200,4,-5.0203986167907715,0.0044,0.22377726435661316,50.0,99,0.9710298776626587,-50.0,6,30,0.0003,,
0.0,-0.6008350849151611,400,8,-6.172843933105469,0.0088,0.2870134711265564,50.0,299,0.9144805669784546,-49.125,19,20,0.0003,,
0.0,-1.009324550628662,600,12,-7.230420112609863,0.0132,0.2348930835723877,50.0,499,0.8612069487571716,-49.0,32,18,0.0003,,
0.0,-1.406134009361267,800,16,-8.226391792297363,0.0176,0.20187073945999146,50.0,699,0.8110501766204834,-49.1875,44,17,0.0003,,
0.0,-1.8154354095458984,1000,20,-9.096339225769043,0.022,0.20298460125923157,50.0,899,0.7638067603111267,-49.35,59,16,0.0003,,
0.0,-2.213177442550659,1200,24,-9.872645378112793,0.0264,0.19940900802612305,50.0,1099,0.7193276882171631,-49.458333333333336,72,16,0.0003,,
0.0,-2.6107707023620605,1400,28,-10.730939865112305,0.030799999999999998,0.2223142385482788,50.0,1299,0.6774441003799438,-49.535714285714285,86,16,0.0003,,
0.0,-3.024963617324829,1600,32,-11.501104354858398,0.0352,0.1973271518945694,50.0,1499,0.6379933953285217,-49.59375,98,16,0.0003,,
0.0,-3.439547300338745,1800,36,-12.048606872558594,0.039599999999999996,0.20040000975131989,50.0,1699,0.600838303565979,-49.638888888888886,111,16,0.0003,,
0.0,-3.8263988494873047,2000,40,-12.658337593078613,0.044,0.21301357448101044,50.0,1899,0.5658558011054993,-49.675,124,16,0.0003,,
0.0,-4.225961685180664,2200,44,-13.00032901763916,0.0484,0.20741547644138336,50.0,2099,0.5329064130783081,-49.70454545454545,137,15,0.0003,,
0.0,-4.632526397705078,2400,48,-13.305168151855469,0.0528,0.21713125705718994,50.0,2299,0.5018864870071411,-49.583333333333336,150,15,0.0003,,
0.0,-5.046445846557617,2600,52,-13.596378326416016,0.0572,0.19280853867530823,50.0,2499,0.47266119718551636,-49.59615384615385,163,15,0.0003,,
0.0,-5.43231725692749,2800,56,-13.693024635314941,0.061599999999999995,0.18811775743961334,50.0,2699,0.44513553380966187,-49.410714285714285,175,15,0.0003,,
0.0,-5.837310791015625,3000,60,-13.791463851928711,0.066,0.1830061376094818,50.0,2899,0.4192231595516205,-49.4,188,15,0.0003,,
0.0,-6.223263263702393,3200,64,-13.804064750671387,0.0704,0.22430449724197388,50.0,3099,0.3948346972465515,-49.109375,201,15,0.0003,,
0.0,-6.617106914520264,3400,68,-13.8137845993042,0.07479999999999999,0.17565566301345825,50.0,3299,0.3718632757663727,-49.161764705882355,214,15,0.0003,,
0.013888888992369175,-7.038544654846191,3600,72,-13.736021041870117,0.07919999999999999,0.18916617333889008,50.0,3499,0.350235253572464,-49.15277777777778,226,15,0.0003,,
0.01315789483487606,-7.420002460479736,3800,76,-13.515417098999023,0.0836,0.19476190209388733,50.0,3699,0.32988452911376953,-49.13157894736842,239,15,0.0003,,
0.012500000186264515,-7.852052211761475,4000,80,-13.337542533874512,0.088,0.1970907598733902,50.0,3899,0.31072095036506653,-49.125,252,15,0.0003,,
0.011904762126505375,-8.223824501037598,4200,84,-13.069701194763184,0.0924,0.20722654461860657,50.0,4099,0.29268237948417664,-49.166666666666664,265,15,0.0003,,
0.011363636702299118,-8.491385459899902,4400,88,-12.817997932434082,0.0968,0.17010560631752014,50.0,4299,0.2757158875465393,-49.20454545454545,277,15,0.0003,,
0.021739130839705467,-8.924674987792969,4600,92,-12.552543640136719,0.1012,0.17294245958328247,50.0,4499,0.25976434350013733,-49.06521739130435,291,15,0.0003,,
0.02083333395421505,-9.283681869506836,4800,96,-12.07080078125,0.1056,0.17231397330760956,50.0,4699,0.24478450417518616,-49.104166666666664,304,15,0.0003,,
0.029999999329447746,-9.741527557373047,5000,100,-11.86823844909668,0.11,0.17058488726615906,50.0,4899,0.23069623112678528,-48.98,321,15,0.0003,0.1274340246580436,0.25
0.029999999329447746,-9.978311538696289,5200,104,-11.471858978271484,0.1144,0.18064209818840027,50.0,5099,0.21745115518569946,-48.95,334,15,0.0003,,
0.029999999329447746,-10.212052345275879,5400,108,-11.192543983459473,0.1188,0.16596300899982452,50.0,5299,0.2050207257270813,-49.01,347,15,0.0003,,
0.029999999329447746,-10.63041877746582,5600,112,-10.80320930480957,0.12319999999999999,0.16373616456985474,50.0,5499,0.19336287677288055,-48.98,360,15,0.0003,,
0.03999999910593033,-10.7373046875,5800,116,-10.321815490722656,0.1276,0.16655607521533966,50.0,5699,0.18240053951740265,-48.9,373,15,0.0003,,
0.05000000074505806,-10.822211265563965,6000,120,-9.878732681274414,0.132,0.1724378913640976,50.0,5899,0.17213381826877594,-48.65,385,15,0.0003,,
0.05000000074505806,-11.021484375,6200,124,-9.710996627807617,0.1364,0.16506478190422058,50.0,6099,0.16249318420886993,-48.48,398,15,0.0003,,
0.05000000074505806,-11.380495071411133,6400,128,-9.209057807922363,0.1408,0.1649210900068283,50.0,6299,0.15345081686973572,-48.36,411,15,0.0003,,
0.05000000074505806,-11.592798233032227,6600,132,-8.571052551269531,0.1452,0.14004886150360107,50.0,6499,0.14497610926628113,-48.09,424,15,0.0003,,
0.05000000074505806,-11.612239837646484,6800,136,-8.238411903381348,0.14959999999999998,0.16633859276771545,50.0,6699,0.1370120495557785,-47.81,437,15,0.0003,,
0.05999999865889549,-11.685461044311523,7000,140,-7.997073173522949,0.154,0.1474466770887375,50.0,6899,0.12955795228481293,-47.17,450,15,0.0003,,
0.07000000029802322,-11.381011009216309,7200,144,-7.598625183105469,0.15839999999999999,0.1590198278427124,50.0,7099,0.12256874889135361,-46.37,463,15,0.0003,,
0.07999999821186066,-11.81775951385498,7400,148,-7.085855484008789,0.1628,0.15932676196098328,50.0,7299,0.11602935194969177,-45.6,476,15,0.0003,,
0.10000000149011612,-11.904333114624023,7600,152,-6.869584560394287,0.1672,0.15028314292430878,50.0,7499,0.10987332463264465,-44.47,489,15,0.0003,,
0.11999999731779099,-11.72066879272461,7800,156,-6.444629192352295,0.1716,0.18227224051952362,50.0,7699,0.10408831387758255,-43.07,502,15,0.0003,,
0.14000000059604645,-11.130186080932617,8000,160,-6.243566036224365,0.176,0.11914083361625671,50.0,7899,0.0986614003777504,-42.08,515,15,0.0003,,
0.17000000178813934,-11.123433113098145,8200,164,-5.871265888214111,0.1804,0.1440160721540451,50.0,8099,0.09355174750089645,-40.88,528,15,0.0003,,
0.20000000298023224,-11.730557441711426,8400,168,-5.665052890777588,0.1848,0.14912164211273193,50.0,8299,0.08874973654747009,-39.66,541,15,0.0003,,
0.23000000417232513,-10.919892311096191,8600,172,-5.523233890533447,0.1892,0.1528538167476654,50.0,8499,0.08419539034366608,-38.1,553,15,0.0003,,
0.27000001072883606,-11.506702423095703,8800,176,-5.361571311950684,0.1936,0.15243765711784363,50.0,8699,0.07993847131729126,-36.74,566,15,0.0003,,
0.3100000023841858,-10.854538917541504,9000,180,-4.703866004943848,0.19799999999999998,0.1772751808166504,50.0,8899,0.07591693848371506,-35.06,579,15,0.0003,,
0.3499999940395355,-10.58704662322998,9200,184,-4.5378336906433105,0.2024,0.1396871954202652,50.0,9099,0.07212863117456436,-33.21,592,15,0.0003,,
0.38999998569488525,-10.580277442932129,9400,188,-4.60456657409668,0.20679999999999998,0.15709930658340454,50.0,9299,0.06857743859291077,-31.3,605,15,0.0003,,
0.41999998688697815,-10.685060501098633,9600,192,-4.3298258781433105,0.2112,0.13965770602226257,50.0,9499,0.06521445512771606,-29.57,618,15,0.0003,,
0.46000000834465027,-10.771678924560547,9800,196,-4.3922929763793945,0.21559999999999999,0.13327592611312866,50.0,9699,0.0620669424533844,-27.66,632,15,0.0003,,
0.49000000953674316,-10.000779151916504,10000,200,-4.0330023765563965,0.22,0.15293563902378082,50.0,9899,0.05909194052219391,-25.91,649,15,0.0003,0.024093934487893987,1.0
0.5299999713897705,-9.932884216308594,10200,204,-4.324615955352783,0.2244,0.14677907526493073,50.0,10099,0.05626046285033226,-24.12,662,15,0.0003,,
0.5699999928474426,-9.467072486877441,10400,208,-4.501827239990234,0.2288,0.14554503560066223,50.0,10299,0.053583867847919464,-22.2,675,15,0.0003,,
0.6100000143051147,-10.278947830200195,10600,212,-4.1530585289001465,0.2332,0.12880221009254456,50.0,10499,0.05103890970349312,-20.39,689,15,0.0003,,
0.6299999952316284,-9.266378402709961,10800,216,-4.158541679382324,0.2376,0.13056576251983643,50.0,10699,0.048621438443660736,-18.63,702,15,0.0003,,
0.6600000262260437,-8.605405807495117,11000,220,-4.159627437591553,0.242,0.1273609846830368,50.0,10899,0.046364814043045044,-16.99,715,15,0.0003,,
0.699999988079071,-8.160701751708984,11200,224,-3.886702537536621,0.24639999999999998,0.1361534297466278,50.0,11099,0.04425874724984169,-15.23,728,15,0.0003,,
0.7400000095367432,-8.782132148742676,11400,228,-4.320572853088379,0.25079999999999997,0.11270150542259216,50.0,11299,0.042254794389009476,-13.45,741,15,0.0003,,
0.7799999713897705,-6.909204006195068,11600,232,-3.8006486892700195,0.2552,0.12727542221546173,50.0,11499,0.04034605994820595,-11.82,754,15,0.0003,,
0.8199999928474426,-7.972256660461426,11800,236,-4.328250885009766,0.2596,0.11347129940986633,50.0,11699,0.0385059118270874,-10.19,767,15,0.0003,,
0.8500000238418579,-7.8233113288879395,12000,240,-4.428047180175781,0.264,0.16950584948062897,50.0,11899,0.03674595430493355,-8.95,780,15,0.0003,,
0.8799999952316284,-7.348586559295654,12200,244,-4.272588729858398,0.26839999999999997,0.15372075140476227,50.0,12099,0.03505624458193779,-7.81,793,15,0.0003,,
0.9100000262260437,-7.766096591949463,12400,248,-4.309536933898926,0.2728,0.12254951894283295,50.0,12299,0.03338506072759628,-6.73,806,15,0.0003,,
0.9300000071525574,-7.445623397827148,12600,252,-4.629089832305908,0.2772,0.12400255352258682,50.0,12499,0.031800754368305206,-5.96,818,15,0.0003,,
0.9399999976158142,-6.915138244628906,12800,256,-4.337571144104004,0.2816,0.13265997171401978,50.0,12699,0.030317047610878944,-5.57,832,15,0.0003,,
0.9599999785423279,-7.772568225860596,13000,260,-4.78897762298584,0.286,0.1291920393705368,50.0,12899,0.028876839205622673,-4.64,845,15,0.0003,,
0.9700000286102295,-6.623165607452393,13200,264,-4.497221946716309,0.2904,0.09426863491535187,50.0,13099,0.027485618367791176,-4.15,858,15,0.0003,,
0.9800000190734863,-7.354196548461914,13400,268,-4.713210105895996,0.2948,0.10956703126430511,50.0,13299,0.026116957888007164,-3.44,870,15,0.0003,,
0.9800000190734863,-8.248052597045898,13600,272,-4.709990501403809,0.29919999999999997,0.10225212574005127,50.0,13499,0.02480042725801468,-3.12,883,15,0.0003,,
0.9800000190734863,-8.639754295349121,13800,276,-4.671903133392334,0.3036,0.0952635407447815,50.0,13699,0.023538287729024887,-2.6,896,15,0.0003,,
0.9800000190734863,-7.2182440757751465,14000,280,-4.606019973754883,0.308,0.10944461077451706,50.0,13899,0.022325430065393448,-2.4,909,15,0.0003,,
0.9800000190734863,-6.6934614181518555,14200,284,-4.381317138671875,0.3124,0.09030383825302124,50.0,14099,0.021180110052227974,-2.34,922,15,0.0003,,
0.9800000190734863,-5.898604393005371,14400,288,-4.345614433288574,0.31679999999999997,0.09174737334251404,50.0,14299,0.02009284496307373,-2.32,935,15,0.0003,,
0.9800000190734863,-6.836622714996338,14600,292,-4.532628059387207,0.3212,0.10470782965421677,50.0,14499,0.019082698971033096,-2.29,948,15,0.0003,,
0.9800000190734863,-6.428719997406006,14800,296,-4.575977802276611,0.3256,0.08397964388132095,50.0,14699,0.01812681183218956,-2.27,962,15,0.0003,,
0.9800000190734863,-6.720950126647949,15000,300,-4.7011823654174805,0.33,0.0809115320444107,50.0,14899,0.01724054291844368,-2.24,979,15,0.0003,0.012945957501955147,1.0
0.9800000190734863,-8.46893310546875,15200,304,-4.639733791351318,0.3344,0.07928241789340973,50.0,15099,0.016384677961468697,-2.13,992,15,0.0003,,
0.9800000190734863,-5.906486511230469,15400,308,-4.660923004150391,0.3388,0.08727659285068512,50.0,15299,0.015575754456222057,-2.15,1005,15,0.0003,,
0.9800000190734863,-6.555273532867432,15600,312,-4.519064903259277,0.3432,0.07805687189102173,50.0,15499,0.0148234274238348,-2.12,1018,15,0.0003,,
0.9900000095367432,-7.337681770324707,15800,316,-4.6878180503845215,0.34759999999999996,0.06869575381278992,50.0,15699,0.014114712364971638,-2.01,1031,15,0.0003,,
0.9900000095367432,-5.947284698486328,16000,320,-4.601174354553223,0.352,0.07074296474456787,50.0,15899,0.013430649414658546,-1.97,1044,15,0.0003,,
0.9900000095367432,-7.097553253173828,16200,324,-4.662536144256592,0.3564,0.08815895766019821,50.0,16099,0.012780865654349327,-1.97,1056,15,0.0003,,
