rollout/success_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,curriculum/epsilon,train/critic_loss,time/episodes,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/clean_success_rate,eval/clean_mean_d
0.0,50.0,200,120,-48.75,0.0,0.27748608589172363,4,99,-5.074526786804199,1,0.0003,-0.1970319300889969,0.9710294008255005,,
0.0,50.0,400,85,-47.875,0.0,0.2411087304353714,8,299,-6.255932807922363,4,0.0003,-0.5994093418121338,0.9144774079322815,,
0.0,50.0,600,78,-48.333333333333336,0.0,0.2072013020515442,12,499,-7.388967037200928,7,0.0003,-1.0052403211593628,0.8612123727798462,,
0.0,50.0,800,75,-48.75,0.0,0.2127896547317505,16,699,-8.348917007446289,10,0.0003,-1.406963586807251,0.8110572099685669,,
0.0,50.0,1000,73,-48.85,0.0,0.22652074694633484,20,899,-9.356852531433105,13,0.0003,-1.8099024295806885,0.7638326287269592,,
0.0,50.0,1200,72,-49.041666666666664,0.0,0.21428483724594116,24,1099,-10.161016464233398,16,0.0003,-2.2150537967681885,0.7193366885185242,,
0.0,50.0,1400,70,-49.142857142857146,0.0,0.2055751085281372,28,1299,-11.017386436462402,19,0.0003,-2.619033098220825,0.6774342656135559,,
0.0,50.0,1600,70,-49.25,0.0,0.20199577510356903,32,1499,-11.805144309997559,22,0.0003,-3.0426042079925537,0.6379875540733337,,
0.0,50.0,1800,69,-49.333333333333336,0.0,0.22921490669250488,36,1699,-12.262435913085938,25,0.0003,-3.4256811141967773,0.6008422374725342,,
0.0,50.0,2000,69,-49.15,0.0,0.19585087895393372,40,1899,-12.766196250915527,28,0.0003,-3.8348276615142822,0.5658738613128662,,
0.0,50.0,2200,69,-49.13636363636363,0.0,0.22132307291030884,44,2099,-13.232264518737793,31,0.0003,-4.221373558044434,0.5329313278198242,,
0.0,50.0,2400,69,-49.208333333333336,0.0,0.20984521508216858,48,2299,-13.704648971557617,34,0.0003,-4.656584739685059,0.5019170641899109,,
0.0,50.0,2600,68,-49.26923076923077,0.0,0.19880086183547974,52,2499,-13.934165954589844,37,0.0003,-5.0334625244140625,0.47271132469177246,,
0.0,50.0,2800,68,-49.30357142857143,0.0,0.19097739458084106,56,2699,-14.121783256530762,40,0.0003,-5.426327705383301,0.44521063566207886,,
0.0,50.0,3000,68,-49.3,0.0,0.20218148827552795,60,2899,-14.263057708740234,43,0.0003,-5.843745231628418,0.41931116580963135,,
0.0,50.0,3200,68,-49.34375,0.0,0.16893544793128967,64,3099,-14.224116325378418,46,0.0003,-6.223996162414551,0.3949386477470398,,
0.0,50.0,3400,68,-49.38235294117647,0.0,0.19113481044769287,68,3299,-14.386035919189453,49,0.0003,-6.6226983070373535,0.3719933032989502,,
0.0,50.0,3600,68,-49.333333333333336,0.0,0.1696612685918808,72,3499,-14.306591033935547,52,0.0003,-6.980893135070801,0.35038214921951294,,
0.0,50.0,3800,68,-49.36842105263158,0.0,0.19407325983047485,76,3699,-14.353890419006348,55,0.0003,-7.400399208068848,0.33005398511886597,,
0.0,50.0,4000,67,-49.4,0.0,0.20083418488502502,80,3899,-14.146501541137695,58,0.0003,-7.807573318481445,0.3109225928783417,,
0.0,50.0,4200,67,-49.42857142857143,0.0,0.1937258392572403,84,4099,-13.906052589416504,61,0.0003,-8.179976463317871,0.29290279746055603,,
0.0,50.0,4400,67,-49.45454545454545,0.0,0.17496763169765472,88,4299,-13.783380508422852,64,0.0003,-8.460368156433105,0.2759595513343811,,
0.0,50.0,4600,67,-49.47826086956522,0.0,0.18509602546691895,92,4499,-13.568511962890625,67,0.0003,-8.949209213256836,0.2600160241127014,,
0.0,50.0,4800,67,-49.5,0.0,0.19088612496852875,96,4699,-13.413351058959961,70,0.0003,-9.300113677978516,0.24502156674861908,,
0.0,50.0,5000,66,-49.52,0.0,0.17441417276859283,100,4899,-13.132770538330078,75,0.0003,-9.694540023803711,0.23089316487312317,0.15,0.40397069826374715
0.0,50.0,5200,66,-49.53,0.0,0.19548970460891724,104,5099,-12.835260391235352,78,0.0003,-9.903730392456055,0.21759112179279327,,
0.0,50.0,5400,66,-49.64,0.0,0.19423654675483704,108,5299,-12.196821212768555,81,0.0003,-10.22213077545166,0.20509667694568634,,
0.0,50.0,5600,66,-49.66,0.0,0.18178653717041016,112,5499,-12.29404354095459,84,0.0003,-10.612900733947754,0.1933671534061432,,
0.0,50.0,5800,66,-49.65,0.0,0.154989093542099,116,5699,-11.617713928222656,87,0.0003,-11.09172248840332,0.18234434723854065,,
0.0,50.0,6000,66,-49.67,0.0,0.1823148876428604,120,5899,-11.157770156860352,90,0.0003,-11.262791633605957,0.17195746302604675,,
0.0,50.0,6200,66,-49.67,0.0,0.15778103470802307,124,6099,-10.92384147644043,93,0.0003,-11.379826545715332,0.16221776604652405,,
0.0,50.0,6400,66,-49.68,0.0,0.15576979517936707,128,6299,-10.340721130371094,96,0.0003,-11.373241424560547,0.1530729979276657,,
0.0,50.0,6600,66,-49.68,0.0,0.14649143815040588,132,6499,-9.964481353759766,99,0.0003,-11.780458450317383,0.14449439942836761,,
0.0,50.0,6800,66,-49.66,0.0,0.16306382417678833,136,6699,-9.638984680175781,102,0.0003,-11.64288330078125,0.1364438533782959,,
0.0,50.0,7000,66,-49.76,0.0,0.1452905535697937,140,6899,-8.879204750061035,105,0.0003,-11.651714324951172,0.12890233099460602,,
0.0,50.0,7200,66,-49.8,0.0,0.15775060653686523,144,7099,-8.862030029296875,108,0.0003,-11.90863037109375,0.12183663994073868,,
0.0,50.0,7400,66,-49.79,0.0,0.13173896074295044,148,7299,-8.202237129211426,111,0.0003,-11.991965293884277,0.11521004140377045,,
0.0,50.0,7600,66,-49.68,0.0,0.16258439421653748,152,7499,-8.015090942382812,114,0.0003,-12.473700523376465,0.10897327214479446,,
0.0,50.0,7800,66,-49.56,0.0,0.1432945877313614,156,7699,-7.6423659324646,117,0.0003,-12.646563529968262,0.1031205803155899,,
0.009999999776482582,50.0,8000,66,-49.26,0.0,0.13637234270572662,160,7899,-7.163011074066162,120,0.0003,-12.669683456420898,0.09763239324092865,,
