train/actor_loss,train/ent_coef_loss,train/n_updates,time/episodes,time/fps,train/ent_coef,time/total_timesteps,curriculum/epsilon,rollout/success_rate,rollout/ep_rew_mean,train/critic_loss,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,eval/clean_success_rate,eval/clean_mean_d
-4.990171432495117,-0.19804012775421143,99,4,25,0.971017599105835,200,0.0,0.0,-50.0,0.27196013927459717,0.0003,50.0,7,,
-6.089550018310547,-0.6032183170318604,299,8,17,0.9144672155380249,400,0.0,0.0,-49.625,0.23512649536132812,0.0003,50.0,22,,
-7.10670280456543,-1.0096510648727417,499,12,16,0.8612054586410522,600,0.0,0.0,-49.75,0.2448425590991974,0.0003,50.0,35,,
-8.271125793457031,-1.4128168821334839,699,16,16,0.8110452890396118,800,0.0,0.0,-49.3125,0.23341383039951324,0.0003,50.0,49,,
-9.167989730834961,-1.8133571147918701,899,20,15,0.7638182044029236,1000,0.0,0.0,-49.45,0.20045113563537598,0.0003,50.0,62,,
-10.064062118530273,-2.21443772315979,1099,24,15,0.7193382978439331,1200,0.0,0.0,-49.541666666666664,0.25009477138519287,0.0003,50.0,76,,
-10.801815032958984,-2.6160619258880615,1299,28,15,0.6774541735649109,1400,0.0,0.0,-49.464285714285715,0.21383678913116455,0.0003,50.0,90,,
-11.432446479797363,-3.015341281890869,1499,32,15,0.6380199790000916,1600,0.0,0.0,-49.53125,0.22648639976978302,0.0003,50.0,103,,
-12.07199478149414,-3.4237630367279053,1699,36,15,0.6008827090263367,1800,0.0,0.0,-49.166666666666664,0.1914071887731552,0.0003,50.0,116,,
-12.414965629577637,-3.843402862548828,1899,40,15,0.5659042000770569,2000,0.0,0.0,-48.925,0.1661674678325653,0.0003,50.0,130,,
-12.914505958557129,-4.247060298919678,2099,44,15,0.5329768657684326,2200,0.0,0.0,-49.02272727272727,0.1809454709291458,0.0003,50.0,143,,
-13.270519256591797,-4.6276469230651855,2299,48,15,0.5019769668579102,2400,0.0,0.0,-49.020833333333336,0.22053208947181702,0.0003,50.0,157,,
-13.597471237182617,-5.022688865661621,2499,52,15,0.4727828800678253,2600,0.0,0.0,-48.94230769230769,0.20806381106376648,0.0003,50.0,170,,
-13.799056053161621,-5.446971893310547,2699,56,15,0.44528862833976746,2800,0.0,0.0,-49.0,0.2039899230003357,0.0003,50.0,184,,
-13.997634887695312,-5.84094762802124,2899,60,15,0.419411838054657,3000,0.0,0.0,-49.03333333333333,0.2097492218017578,0.0003,50.0,197,,
-14.081670761108398,-6.245336532592773,3099,64,15,0.3950526714324951,3200,0.0,0.0,-49.046875,0.18487462401390076,0.0003,50.0,211,,
-14.240594863891602,-6.583017826080322,3299,68,15,0.37210774421691895,3400,0.0,0.0,-49.0,0.20882415771484375,0.0003,50.0,224,,
-14.129460334777832,-7.033273220062256,3499,72,15,0.35052797198295593,3600,0.0,0.0,-49.041666666666664,0.20427963137626648,0.0003,50.0,237,,
-14.031570434570312,-7.336235046386719,3699,76,15,0.33020442724227905,3800,0.0,0.0,-49.0921052631579,0.16782185435295105,0.0003,50.0,251,,
-13.893848419189453,-7.743829727172852,3899,80,15,0.311064213514328,4000,0.0,0.0,-49.1375,0.19688177108764648,0.0003,50.0,265,,
-13.75663948059082,-8.139886856079102,4099,84,15,0.293044775724411,4200,0.0,0.0,-49.17857142857143,0.190902978181839,0.0003,50.0,278,,
-13.492002487182617,-8.467098236083984,4299,88,15,0.2760995924472809,4400,0.0,0.0,-49.21590909090909,0.17129412293434143,0.0003,50.0,291,,
-13.168676376342773,-8.94308853149414,4499,92,15,0.260149747133255,4600,0.0,0.0,-49.25,0.1680576503276825,0.0003,50.0,306,,
-13.034523963928223,-9.241744041442871,4699,96,14,0.2451544553041458,4800,0.0,0.0,-49.28125,0.20382392406463623,0.0003,50.0,320,,
-12.607166290283203,-9.527458190917969,4899,100,14,0.23104643821716309,5000,0.0,0.0,-49.22,0.16765369474887848,0.0003,50.0,338,0.2,0.33664504225694264
-12.190550804138184,-9.8753662109375,5099,104,14,0.21780584752559662,5200,0.0,0.0,-49.21,0.197615385055542,0.0003,50.0,352,,
-12.049991607666016,-10.25861930847168,5299,108,14,0.20534244179725647,5400,0.0,0.0,-49.2,0.17195016145706177,0.0003,50.0,365,,
-11.614624977111816,-10.398632049560547,5499,112,14,0.19363272190093994,5600,0.0,0.0,-49.2,0.19962824881076813,0.0003,50.0,378,,
-11.10673999786377,-10.728177070617676,5699,116,14,0.18267811834812164,5800,0.0,0.0,-49.24,0.16280733048915863,0.0003,50.0,392,,
-10.767744064331055,-11.050209999084473,5899,120,14,0.17237679660320282,6000,0.0,0.0,-49.2,0.15170073509216309,0.0003,50.0,405,,
-10.456437110900879,-11.118820190429688,6099,124,14,0.16270339488983154,6200,0.0,0.0,-49.16,0.14844566583633423,0.0003,50.0,418,,
-9.732848167419434,-11.60231876373291,6299,128,14,0.1536281555891037,6400,0.0,0.0,-49.02,0.15423151850700378,0.0003,50.0,431,,
-9.674495697021484,-11.423930168151855,6499,132,14,0.14511248469352722,6600,0.0,0.0,-48.97,0.16333040595054626,0.0003,50.0,445,,
-9.36911678314209,-11.679952621459961,6699,136,14,0.1371167153120041,6800,0.0,0.0,-49.07,0.1515350639820099,0.0003,50.0,458,,
-8.753348350524902,-11.290188789367676,6899,140,14,0.1296093910932541,7000,0.0,0.0,-49.14,0.1538790762424469,0.0003,50.0,472,,
-8.297388076782227,-11.901630401611328,7099,144,14,0.12257914990186691,7200,0.0,0.0,-49.06,0.14721530675888062,0.0003,50.0,485,,
-7.857569694519043,-12.03657341003418,7299,148,14,0.11597304046154022,7400,0.0,0.0,-48.85,0.14752009510993958,0.0003,50.0,498,,
-7.499138355255127,-11.818100929260254,7499,152,14,0.10977999866008759,7600,0.0,0.0,-48.79,0.14553691446781158,0.0003,50.0,512,,
-7.430128574371338,-12.005584716796875,7699,156,14,0.10398302227258682,7800,0.0,0.0,-48.55,0.12566226720809937,0.0003,50.0,525,,
-6.965012550354004,-12.077630996704102,7899,160,14,0.09853056073188782,8000,0.0,0.0,-48.08,0.15203586220741272,0.0003,50.0,539,,
-6.823762893676758,-12.197885513305664,8099,164,14,0.0933336690068245,8200,0.0,0.009999999776482582,-47.89,0.1253979206085205,0.0003,50.0,552,,
-6.378382682800293,-11.801178932189941,8299,168,14,0.08850673586130142,8400,0.0,0.029999999329447746,-47.1,0.11355935037136078,0.0003,50.0,565,,
-5.795975208282471,-11.470017433166504,8499,172,14,0.08394438028335571,8600,0.0,0.029999999329447746,-46.64,0.12699052691459656,0.0003,50.0,579,,
-5.6599345207214355,-11.973353385925293,8699,176,14,0.0796094462275505,8800,0.002288,0.05999999865889549,-45.66,0.13567382097244263,0.0003,50.0,592,,
-5.26315975189209,-11.03093433380127,8899,180,14,0.07553155720233917,9000,0.0066879999999999995,0.07000000029802322,-44.78,0.1155201643705368,0.0003,50.0,606,,
-5.039837837219238,-11.636663436889648,9099,184,14,0.07169590890407562,9200,0.011087999999999999,0.10000000149011612,-43.66,0.11265511810779572,0.0003,50.0,619,,
-4.58657693862915,-10.857324600219727,9299,188,14,0.06803572177886963,9400,0.015488,0.11999999731779099,-42.43,0.12749768793582916,0.0003,50.0,633,,
-4.553341865539551,-10.892645835876465,9499,192,14,0.06458160281181335,9600,0.019888,0.14000000059604645,-41.04,0.10855069756507874,0.0003,50.0,647,,
-4.332121849060059,-11.023557662963867,9699,196,14,0.06137249991297722,9800,0.024288,0.18000000715255737,-39.22,0.14667591452598572,0.0003,50.0,661,,
-4.270186424255371,-10.130709648132324,9899,200,14,0.05833009257912636,10000,0.028687999999999998,0.2199999988079071,-37.61,0.1341206431388855,0.0003,50.0,680,1.0,0.018391132106155318
-3.934673309326172,-10.363298416137695,10099,204,14,0.055492185056209564,10200,0.033088,0.25,-35.87,0.13418462872505188,0.0003,50.0,693,,
