rollout/success_rate,train/ent_coef_loss,time/total_timesteps,time/episodes,train/actor_loss,curriculum/epsilon,train/critic_loss,rollout/ep_len_mean,train/n_updates,train/ent_coef,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/learning_rate,eval/clean_mean_d,eval/clean_success_rate
0.0,-0.19803781807422638,200,4,-4.990451812744141,0.0044,0.2718213200569153,50.0,99,0.971017599105835,-50.0,6,30,0.0003,,
0.0,-0.6031258702278137,400,8,-6.088738441467285,0.0088,0.23707233369350433,50.0,299,0.9144672155380249,-49.625,19,20,0.0003,,
0.0,-1.009690761566162,600,12,-7.103949069976807,0.0132,0.2434873878955841,50.0,499,0.8612059950828552,-49.75,32,18,0.0003,,
0.0,-1.4127585887908936,800,16,-8.27229118347168,0.0176,0.23278407752513885,50.0,699,0.8110454082489014,-49.5,44,17,0.0003,,
0.0,-1.813367247581482,1000,20,-9.161267280578613,0.022,0.19984033703804016,50.0,899,0.7638182640075684,-49.6,57,17,0.0003,,
0.0,-2.214360237121582,1200,24,-10.036327362060547,0.0264,0.245814248919487,50.0,1099,0.7193371057510376,-49.666666666666664,70,17,0.0003,,
0.0,-2.6164608001708984,1400,28,-10.774919509887695,0.030799999999999998,0.21653400361537933,50.0,1299,0.6774518489837646,-49.607142857142854,83,16,0.0003,,
0.0,-3.0156025886535645,1600,32,-11.4288911819458,0.0352,0.2287299633026123,50.0,1499,0.6380175948143005,-49.65625,95,16,0.0003,,
0.0,-3.423492193222046,1800,36,-12.047069549560547,0.039599999999999996,0.19052031636238098,50.0,1699,0.6008791327476501,-49.638888888888886,108,16,0.0003,,
0.0,-3.843566417694092,2000,40,-12.426698684692383,0.044,0.16584588587284088,50.0,1899,0.5659011602401733,-49.575,121,16,0.0003,,
0.0,-4.247265815734863,2200,44,-12.913285255432129,0.0484,0.1784954071044922,50.0,2099,0.5329729914665222,-49.61363636363637,134,16,0.0003,,
0.0,-4.626570701599121,2400,48,-13.24525260925293,0.0528,0.22527241706848145,50.0,2299,0.501975953578949,-49.604166666666664,147,16,0.0003,,
0.0,-5.022190570831299,2600,52,-13.63655948638916,0.0572,0.2118956446647644,50.0,2499,0.4727848470211029,-49.51923076923077,159,16,0.0003,,
0.0,-5.446742057800293,2800,56,-13.766806602478027,0.061599999999999995,0.20128339529037476,50.0,2699,0.4452935457229614,-49.55357142857143,172,16,0.0003,,
0.0,-5.83695650100708,3000,60,-13.95926284790039,0.066,0.19458578526973724,50.0,2899,0.4194192886352539,-49.583333333333336,185,16,0.0003,,
0.0,-6.246407985687256,3200,64,-14.045799255371094,0.0704,0.1759415864944458,50.0,3099,0.3950624167919159,-49.5625,198,16,0.0003,,
0.0,-6.595121383666992,3400,68,-14.233531951904297,0.07479999999999999,0.22059082984924316,50.0,3299,0.37212127447128296,-49.55882352941177,211,16,0.0003,,
0.0,-7.03619384765625,3600,72,-14.0677490234375,0.07919999999999999,0.19747605919837952,50.0,3499,0.3505374789237976,-49.56944444444444,224,16,0.0003,,
0.0,-7.3375563621521,3800,76,-14.003568649291992,0.0836,0.1653645932674408,50.0,3699,0.3302127718925476,-49.5921052631579,237,16,0.0003,,
0.0,-7.738673686981201,4000,80,-13.831474304199219,0.088,0.20255380868911743,50.0,3899,0.311073362827301,-49.6125,249,16,0.0003,,
