rollout/success_rate,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,curriculum/epsilon,train/critic_loss,time/episodes,train/n_updates,train/actor_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/clean_success_rate,eval/clean_mean_d
0.0,50.0,200,97,-50.0,0.0,0.27196013927459717,4,99,-4.990171432495117,2,0.0003,-0.19804012775421143,0.971017599105835,,
0.0,50.0,400,71,-49.625,0.0,0.23512648046016693,8,299,-6.089549541473389,5,0.0003,-0.6032184362411499,0.9144671559333801,,
0.0,50.0,600,66,-49.75,0.0,0.24484017491340637,12,499,-7.106542587280273,8,0.0003,-1.009645938873291,0.8612054586410522,,
0.0,50.0,800,62,-49.3125,0.0,0.23350390791893005,16,699,-8.271158218383789,12,0.0003,-1.4128162860870361,0.8110454082489014,,
0.0,50.0,1000,61,-49.45,0.0,0.200310617685318,20,899,-9.169536590576172,16,0.0003,-1.813409447669983,0.763818085193634,,
0.0,50.0,1200,60,-49.541666666666664,0.0,0.24982836842536926,24,1099,-10.061113357543945,19,0.0003,-2.2143959999084473,0.7193379998207092,,
0.0,50.0,1400,60,-49.464285714285715,0.0,0.21547174453735352,28,1299,-10.801491737365723,23,0.0003,-2.616154193878174,0.6774542331695557,,
0.0,50.0,1600,60,-49.53125,0.0,0.2272031605243683,32,1499,-11.433673858642578,26,0.0003,-3.015505075454712,0.638019859790802,,
0.0,50.0,1800,60,-49.166666666666664,0.0,0.19149191677570343,36,1699,-12.069709777832031,29,0.0003,-3.423894166946411,0.6008827686309814,,
0.0,50.0,2000,60,-48.925,0.0,0.16690102219581604,40,1899,-12.41096305847168,33,0.0003,-3.8435566425323486,0.5659046769142151,,
0.0,50.0,2200,60,-49.02272727272727,0.0,0.18138401210308075,44,2099,-12.895720481872559,36,0.0003,-4.247105121612549,0.5329773426055908,,
0.0,50.0,2400,59,-49.020833333333336,0.0,0.21709856390953064,48,2299,-13.258186340332031,40,0.0003,-4.627495765686035,0.5019774436950684,,
0.0,50.0,2600,59,-48.94230769230769,0.0,0.2076328992843628,52,2499,-13.611024856567383,43,0.0003,-5.023818016052246,0.47278282046318054,,
0.0,50.0,2800,59,-49.017857142857146,0.0,0.20556676387786865,56,2699,-13.783014297485352,46,0.0003,-5.44621467590332,0.4452899098396301,,
0.0,50.0,3000,59,-49.05,0.0,0.21365080773830414,60,2899,-13.977910995483398,50,0.0003,-5.841710567474365,0.41941219568252563,,
0.0,50.0,3200,59,-49.0625,0.0,0.18675780296325684,64,3099,-14.064369201660156,53,0.0003,-6.245299339294434,0.39505189657211304,,
0.0,50.0,3400,59,-49.01470588235294,0.0,0.2120133340358734,68,3299,-14.229582786560059,56,0.0003,-6.5945210456848145,0.37210798263549805,,
0.0,50.0,3600,59,-49.05555555555556,0.0,0.20540350675582886,72,3499,-14.100704193115234,60,0.0003,-7.032658100128174,0.35052362084388733,,
0.0,50.0,3800,59,-49.10526315789474,0.0,0.17129328846931458,76,3699,-14.033748626708984,63,0.0003,-7.341524124145508,0.3301955759525299,,
0.0,50.0,4000,59,-49.15,0.0,0.1952383667230606,80,3899,-13.902838706970215,67,0.0003,-7.750922679901123,0.31105026602745056,,
0.0,50.0,4200,59,-49.19047619047619,0.0,0.18892532587051392,84,4099,-13.783950805664062,70,0.0003,-8.151155471801758,0.2930218577384949,,
0.0,50.0,4400,59,-49.22727272727273,0.0,0.1715865135192871,88,4299,-13.528908729553223,73,0.0003,-8.470990180969238,0.2760675847530365,,
0.0,50.0,4600,59,-49.26086956521739,0.0,0.1671663224697113,92,4499,-13.224530220031738,77,0.0003,-8.961148262023926,0.26010259985923767,,
0.0,50.0,4800,59,-49.291666666666664,0.0,0.2010563611984253,96,4699,-13.066971778869629,80,0.0003,-9.308185577392578,0.2450864017009735,,
0.0,50.0,5000,58,-49.23,0.0,0.16640082001686096,100,4899,-12.653081893920898,85,0.0003,-9.524870872497559,0.23095011711120605,0.15,0.36545711413099086
0.0,50.0,5200,58,-49.22,0.0,0.1939314305782318,104,5099,-12.29774284362793,88,0.0003,-9.956278800964355,0.21767887473106384,,
0.0,50.0,5400,58,-49.21,0.0,0.17697793245315552,108,5299,-12.13044548034668,92,0.0003,-10.294341087341309,0.20519156754016876,,
0.0,50.0,5600,58,-49.21,0.0,0.20797637104988098,112,5499,-11.635704040527344,95,0.0003,-10.477190971374512,0.19345399737358093,,
0.0,50.0,5800,58,-49.28,0.0,0.17430993914604187,116,5699,-11.126070976257324,98,0.0003,-10.929669380187988,0.18246066570281982,,
0.0,50.0,6000,58,-49.24,0.0,0.15593227744102478,120,5899,-10.772074699401855,102,0.0003,-11.111980438232422,0.17212462425231934,,
0.0,50.0,6200,58,-49.19,0.0,0.1632828414440155,124,6099,-10.445780754089355,105,0.0003,-11.284276008605957,0.16242775321006775,,
